experiment,device,model,run,total_time_s,ttft_ms,tokens,tokens_per_sec,peak_ram_mb,avg_cpu_pct,load_time_s
E1,device1,tinyllama,1,4.0428,1409.41,100,24.74,1286.7,42.0,1.81
E1,device1,tinyllama,2,3.4741,101.25,100,28.78,1291.3,48.1,1.81
E1,device1,tinyllama,3,5.6726,108.03,100,17.63,1293.3,49.4,1.81
E1,device1,tinyllama,4,6.0693,158.48,100,16.48,1294.4,48.8,1.81
E1,device1,tinyllama,5,6.367,157.82,100,15.71,1296.3,48.7,1.81
E1,device1,tinyllama,6,6.1021,173.87,100,16.39,1293.8,48.1,1.81
E1,device1,tinyllama,7,6.0767,167.99,100,16.46,1295.1,49.3,1.81
E1,device1,tinyllama,8,6.1158,155.04,100,16.35,1300.2,48.6,1.81
E1,device1,tinyllama,9,5.902,169.38,100,16.94,1297.9,48.3,1.81
E1,device1,tinyllama,10,5.9345,168.11,100,16.85,1297.9,48.3,1.81
E1,device1,tinyllama,11,5.8711,143.63,100,17.03,1296.7,49.1,1.81
E1,device1,tinyllama,12,6.1663,158.18,100,16.22,1297.2,48.6,1.81
E1,device1,tinyllama,13,6.1277,155.07,100,16.32,1299.5,48.6,1.81
E1,device1,tinyllama,14,6.141,188.56,100,16.28,1300.0,48.5,1.81
E1,device1,tinyllama,15,5.8513,151.24,100,17.09,1298.9,48.7,1.81
E1,device1,tinyllama,16,6.9719,174.04,100,14.34,1302.3,48.4,1.81
E1,device1,tinyllama,17,8.4306,180.09,100,11.86,1305.5,48.8,1.81
E1,device1,tinyllama,18,8.4083,241.99,100,11.89,1305.2,48.8,1.81
E1,device1,tinyllama,19,7.6082,209.89,100,13.14,1304.5,48.7,1.81
E1,device1,tinyllama,20,6.7016,212.03,100,14.92,1304.0,47.9,1.81
E1,device1,phi3:mini,1,31.9988,10168.57,100,3.13,4258.4,42.6,12.76
E1,device1,phi3:mini,2,19.9335,267.81,100,5.02,3496.7,49.9,12.76
E1,device1,phi3:mini,3,23.6171,310.48,100,4.23,3499.1,49.7,12.76
E1,device1,phi3:mini,4,19.8766,280.13,100,5.03,3500.4,49.7,12.76
E1,device1,phi3:mini,5,19.7918,237.4,100,5.05,3501.6,49.6,12.76
E1,device1,phi3:mini,6,23.0982,224.76,100,4.33,3504.7,49.5,12.76
E1,device1,phi3:mini,7,28.8731,321.12,100,3.46,3505.2,49.1,12.76
E1,device1,phi3:mini,8,24.8555,294.26,100,4.02,3506.2,49.4,12.76
E1,device1,phi3:mini,9,20.6165,242.05,100,4.85,3507.2,49.6,12.76
E1,device1,phi3:mini,10,20.7453,220.14,100,4.82,3507.6,49.4,12.76
E1,device1,phi3:mini,11,20.5165,302.05,100,4.87,3508.4,49.5,12.76
E1,device1,phi3:mini,12,21.2142,240.09,100,4.71,3507.9,49.5,12.76
E1,device1,phi3:mini,13,22.1331,269.93,100,4.52,3508.7,49.3,12.76
E1,device1,phi3:mini,14,29.8477,278.48,100,3.35,3509.1,49.2,12.76
E1,device1,phi3:mini,15,21.1921,314.83,100,4.72,3508.6,49.6,12.76
E1,device1,phi3:mini,16,21.4335,397.44,100,4.67,3508.3,49.5,12.76
E1,device1,phi3:mini,17,20.8914,247.5,100,4.79,3509.0,49.6,12.76
E1,device1,phi3:mini,18,20.3927,270.76,100,4.9,3509.0,49.6,12.76
E1,device1,phi3:mini,19,21.0922,277.03,100,4.74,3510.0,49.6,12.76
E1,device1,phi3:mini,20,21.2813,232.6,100,4.7,3509.5,49.5,12.76
E1,device1,qwen2.5:3b,1,18.6692,7754.45,73,3.91,2737.1,40.3,12.98
E1,device1,qwen2.5:3b,2,13.0242,481.54,73,5.6,2719.3,47.7,12.98
E1,device1,qwen2.5:3b,3,15.5991,479.98,73,4.68,2720.0,47.7,12.98
E1,device1,qwen2.5:3b,4,17.3256,412.63,73,4.21,2719.8,48.1,12.98
E1,device1,qwen2.5:3b,5,16.8043,688.3,73,4.34,2723.3,48.2,12.98
E1,device1,qwen2.5:3b,6,13.4757,505.49,73,5.42,2722.8,47.9,12.98
E1,device1,qwen2.5:3b,7,12.9969,456.92,73,5.62,2724.9,47.7,12.98
E1,device1,qwen2.5:3b,8,12.4508,427.3,73,5.86,2728.8,48.0,12.98
E1,device1,qwen2.5:3b,9,17.2291,430.3,73,4.24,2730.6,47.9,12.98
E1,device1,qwen2.5:3b,10,14.8508,482.01,73,4.92,2732.8,47.6,12.98
E1,device1,qwen2.5:3b,11,13.5059,510.32,73,5.41,2733.1,48.2,12.98
E1,device1,qwen2.5:3b,12,13.6011,427.96,73,5.37,2733.7,48.1,12.98
E1,device1,qwen2.5:3b,13,18.8406,479.53,73,3.87,2733.7,47.9,12.98
E1,device1,qwen2.5:3b,14,10.8338,492.41,73,6.74,2733.1,48.0,12.98
E1,device1,qwen2.5:3b,15,10.1602,370.05,73,7.18,2735.0,47.8,12.98
E1,device1,qwen2.5:3b,16,9.9753,343.24,73,7.32,2737.9,47.8,12.98
E1,device1,qwen2.5:3b,17,10.575,430.46,73,6.9,2740.6,47.8,12.98
E1,device1,qwen2.5:3b,18,12.8922,458.99,73,5.66,2742.4,48.2,12.98
E1,device1,qwen2.5:3b,19,10.7581,465.68,73,6.79,2743.5,48.0,12.98
E1,device1,qwen2.5:3b,20,10.3525,405.17,73,7.05,2748.0,48.0,12.98
E1,device1,mistral:7b,1,40.1333,13157.86,98,2.44,5374.7,40.1,17.09
E1,device1,mistral:7b,2,28.2406,446.96,98,3.47,5107.8,51.2,17.09
E1,device1,mistral:7b,3,26.4458,347.89,98,3.71,5090.7,50.2,17.09
E1,device1,mistral:7b,4,26.754,315.16,98,3.66,5092.6,50.0,17.09
E1,device1,mistral:7b,5,26.7213,318.27,98,3.67,5093.0,49.9,17.09
E1,device1,mistral:7b,6,27.7894,304.46,98,3.53,5094.2,49.8,17.09
E1,device1,mistral:7b,7,33.7443,383.26,98,2.9,5095.4,49.7,17.09
E1,device1,mistral:7b,8,29.7029,409.45,98,3.3,5097.4,50.0,17.09
E1,device1,mistral:7b,9,26.7641,316.06,98,3.66,5099.6,50.1,17.09
E1,device1,mistral:7b,10,29.243,347.23,98,3.35,5098.9,49.9,17.09
E1,device1,mistral:7b,11,28.5139,390.13,98,3.44,5099.4,49.8,17.09
E1,device1,mistral:7b,12,27.6732,319.79,98,3.54,5099.9,49.9,17.09
E1,device1,mistral:7b,13,26.6419,359.81,98,3.68,5097.8,49.9,17.09
E1,device1,mistral:7b,14,28.7498,316.18,98,3.41,5097.7,50.0,17.09
E1,device1,mistral:7b,15,27.6379,334.38,98,3.55,5100.1,50.2,17.09
E1,device1,mistral:7b,16,28.7253,317.19,98,3.41,5100.1,50.0,17.09
E1,device1,mistral:7b,17,27.9924,342.36,98,3.5,5099.8,49.7,17.09
E1,device1,mistral:7b,18,27.4522,332.84,98,3.57,5100.7,49.9,17.09
E1,device1,mistral:7b,19,28.5479,324.35,98,3.43,5101.2,49.8,17.09
E1,device1,mistral:7b,20,27.0479,324.8,98,3.62,5100.6,50.0,17.09
