experiment,device,model,run,total_time_s,ttft_ms,tokens,tokens_per_sec,peak_ram_mb,avg_cpu_pct,load_time_s
E2-throughput,device1,tinyllama,1,0.0016,1.62,0,0.0,1484.1,0.0,0.0
E2-throughput,device1,tinyllama,2,0.0019,1.89,0,0.0,1484.1,0.0,0.0
E2-throughput,device1,tinyllama,3,0.0015,1.46,0,0.0,1484.1,0.0,0.0
E2-throughput,device1,tinyllama,4,0.0019,1.94,0,0.0,1484.3,0.0,0.0
E2-throughput,device1,tinyllama,5,0.0017,1.73,0,0.0,1484.3,0.0,0.0
E2-throughput,device1,tinyllama,6,0.002,2.0,0,0.0,1484.3,0.0,0.0
E2-throughput,device1,tinyllama,7,0.0017,1.67,0,0.0,1484.3,0.0,0.0
E2-throughput,device1,tinyllama,8,0.0018,1.82,0,0.0,1484.6,1.7,0.0
E2-throughput,device1,tinyllama,9,0.002,2.01,0,0.0,1484.6,0.0,0.0
E2-throughput,device1,tinyllama,10,0.0015,1.5,0,0.0,1484.6,3.3,0.0
E2-throughput,device1,tinyllama,11,0.0022,2.22,0,0.0,1483.3,0.0,0.0
E2-throughput,device1,tinyllama,12,0.0017,1.68,0,0.0,1483.3,0.0,0.0
E2-throughput,device1,tinyllama,13,0.0016,1.64,0,0.0,1483.3,0.8,0.0
E2-throughput,device1,tinyllama,14,0.0022,2.24,0,0.0,1483.3,0.0,0.0
E2-throughput,device1,tinyllama,15,0.0019,1.92,0,0.0,1483.3,0.0,0.0
E2-throughput,device1,tinyllama,16,0.0015,1.47,0,0.0,1483.3,0.0,0.0
E2-throughput,device1,tinyllama,17,0.0018,1.76,0,0.0,1483.3,0.0,0.0
E2-throughput,device1,tinyllama,18,0.0017,1.67,0,0.0,1483.3,0.0,0.0
E2-throughput,device1,tinyllama,19,0.0023,2.29,0,0.0,1483.3,9.2,0.0
E2-throughput,device1,tinyllama,20,0.0033,3.27,0,0.0,1484.1,13.6,0.0
E2-throughput,device1,tinyllama-q5,1,0.0033,3.28,0,0.0,1485.6,0.0,0.0
E2-throughput,device1,tinyllama-q5,2,0.0018,1.83,0,0.0,1485.6,0.8,0.0
E2-throughput,device1,tinyllama-q5,3,0.0037,3.72,0,0.0,1485.6,0.8,0.0
E2-throughput,device1,tinyllama-q5,4,0.0027,2.7,0,0.0,1485.6,0.8,0.0
E2-throughput,device1,tinyllama-q5,5,0.002,1.97,0,0.0,1485.6,0.0,0.0
E2-throughput,device1,tinyllama-q5,6,0.0018,1.85,0,0.0,1485.6,0.8,0.0
E2-throughput,device1,tinyllama-q5,7,0.0035,3.46,0,0.0,1485.6,2.5,0.0
E2-throughput,device1,tinyllama-q5,8,0.002,1.96,0,0.0,1485.9,0.8,0.0
E2-throughput,device1,tinyllama-q5,9,0.0024,2.4,0,0.0,1485.7,0.8,0.0
E2-throughput,device1,tinyllama-q5,10,0.002,2.03,0,0.0,1485.7,0.0,0.0
E2-throughput,device1,tinyllama-q5,11,0.0015,1.48,0,0.0,1485.7,0.8,0.0
E2-throughput,device1,tinyllama-q5,12,0.0015,1.48,0,0.0,1485.7,0.8,0.0
E2-throughput,device1,tinyllama-q5,13,0.0018,1.84,0,0.0,1485.7,0.8,0.0
E2-throughput,device1,tinyllama-q5,14,0.0019,1.92,0,0.0,1485.7,0.0,0.0
E2-throughput,device1,tinyllama-q5,15,0.0017,1.71,0,0.0,1485.7,0.8,0.0
E2-throughput,device1,tinyllama-q5,16,0.0018,1.79,0,0.0,1485.7,0.0,0.0
E2-throughput,device1,tinyllama-q5,17,0.0018,1.78,0,0.0,1485.7,1.7,0.0
E2-throughput,device1,tinyllama-q5,18,0.002,2.0,0,0.0,1485.7,0.0,0.0
E2-throughput,device1,tinyllama-q5,19,0.0018,1.75,0,0.0,1485.7,0.0,0.0
E2-throughput,device1,tinyllama-q5,20,0.0017,1.71,0,0.0,1485.7,1.6,0.0
E2-throughput,device1,tinyllama-q8,1,0.0018,1.84,0,0.0,1488.0,0.0,0.0
E2-throughput,device1,tinyllama-q8,2,0.0021,2.12,0,0.0,1488.0,0.0,0.0
E2-throughput,device1,tinyllama-q8,3,0.002,2.0,0,0.0,1488.0,0.0,0.0
E2-throughput,device1,tinyllama-q8,4,0.002,1.96,0,0.0,1488.0,0.0,0.0
E2-throughput,device1,tinyllama-q8,5,0.0019,1.9,0,0.0,1488.0,0.0,0.0
E2-throughput,device1,tinyllama-q8,6,0.005,5.01,0,0.0,1488.0,0.0,0.0
