experiment,device,model,run,single_time_s,single_tokens,single_toks,single_ttft_ms,agent_chain_s,step1_s,step2_s,step3_s,linear_expected_s,overhead_ratio,chain_completed,single_ram_mb,agent_ram_mb
E3,device1,tinyllama,1,3.6294,50,13.78,2316.96,12.9978,2.4089,4.1167,6.472,10.8882,1.1937,True,1327.4,1337.0
E3,device1,tinyllama,2,6.7437,50,7.41,4061.37,17.8194,5.6653,5.6896,6.4641,20.2311,0.8808,True,1337.2,1341.4
E3,device1,tinyllama,3,6.7648,50,7.39,4055.01,17.7163,5.6454,5.7191,6.3515,20.2944,0.873,True,1339.5,1340.2
E3,device1,tinyllama,4,6.8365,50,7.31,4193.21,18.931,5.5205,6.5725,6.8375,20.5095,0.923,True,1342.0,1344.6
E3,device1,tinyllama,5,6.6338,50,7.54,4046.47,17.8141,5.8114,5.7769,6.2255,19.9014,0.8951,True,1345.1,1348.0
E3,device1,tinyllama,6,6.7736,50,7.38,4127.14,18.0647,5.7001,5.7999,6.5644,20.3208,0.889,True,1348.7,1348.5
E3,device1,tinyllama,7,6.8208,50,7.33,4133.66,17.4711,5.5832,5.5984,6.2892,20.4624,0.8538,True,1346.2,1349.4
E3,device1,tinyllama,8,6.7657,50,7.39,4186.91,17.6618,5.5963,5.7242,6.3407,20.2971,0.8702,True,1347.7,1349.8
E3,device1,tinyllama,9,6.688,50,7.48,3994.28,17.7864,5.5287,5.7944,6.463,20.064,0.8865,True,1349.5,1347.5
E3,device1,tinyllama,10,6.8,50,7.35,4009.54,17.5425,5.6566,5.6249,6.2607,20.4,0.8599,True,1349.9,1349.6
E3,device1,tinyllama,11,6.6695,50,7.5,4111.4,17.499,5.5734,5.6328,6.2925,20.0085,0.8746,True,1350.5,1350.5
E3,device1,tinyllama,12,6.7238,50,7.44,4144.36,17.4408,5.4243,5.6022,6.414,20.1714,0.8646,True,1350.3,1352.4
E3,device1,tinyllama,13,6.8356,50,7.31,4151.53,17.1031,5.3247,5.5751,6.203,20.5068,0.834,True,1352.4,1354.1
E3,device1,tinyllama,14,6.6763,50,7.49,4106.68,17.3336,5.6854,5.5267,6.121,20.0289,0.8654,True,1351.1,1350.9
E3,device1,tinyllama,15,6.7422,50,7.42,3993.14,17.7091,5.542,5.7312,6.4355,20.2266,0.8755,True,1351.1,1353.0
E3,device1,tinyllama,16,6.2161,50,8.04,3778.73,17.5276,5.5746,5.6604,6.2923,18.6483,0.9399,True,1353.0,1353.7
E3,device1,tinyllama,17,6.8064,50,7.35,4167.25,17.194,5.2496,5.634,6.31,20.4192,0.842,True,1353.5,1354.1
