experiment,device,model,prompt_type,prompt_chars,run,total_time_s,ttft_ms,tokens,tokens_per_sec,peak_ram_mb,avg_cpu_pct,load_time_s
E4,device1,phi3:mini,short,25,1,49.1747,6662.53,137,2.79,4270.3,45.0,21.54
E4,device1,phi3:mini,short,25,2,33.9891,222.77,137,4.03,3507.2,49.4,21.54
E4,device1,phi3:mini,short,25,3,35.5705,202.07,137,3.85,3507.3,49.1,21.54
E4,device1,phi3:mini,short,25,4,32.7379,294.65,137,4.18,3510.2,49.5,21.54
E4,device1,phi3:mini,short,25,5,35.4124,265.17,137,3.87,3511.9,49.4,21.54
E4,device1,phi3:mini,short,25,6,35.3609,357.21,137,3.87,3514.3,49.4,21.54
E4,device1,phi3:mini,short,25,7,31.7019,671.69,137,4.32,3515.7,49.6,21.54
E4,device1,phi3:mini,short,25,8,35.4153,353.9,137,3.87,3513.9,49.5,21.54
E4,device1,phi3:mini,short,25,9,33.2674,316.93,137,4.12,3514.1,49.7,21.54
E4,device1,phi3:mini,short,25,10,33.321,351.08,137,4.11,3515.5,49.7,21.54
E4,device1,phi3:mini,short,25,11,32.0232,430.12,137,4.28,3515.0,49.6,21.54
E4,device1,phi3:mini,short,25,12,68.3284,284.01,137,2.01,3516.6,47.5,21.54
E4,device1,phi3:mini,short,25,13,31.2924,199.63,137,4.38,3515.8,49.8,21.54
E4,device1,phi3:mini,short,25,14,30.2571,263.58,137,4.53,3515.0,49.4,21.54
E4,device1,phi3:mini,short,25,15,28.7339,197.63,137,4.77,3513.8,49.7,21.54
E4,device1,phi3:mini,short,25,16,52.2612,328.09,137,2.62,3517.4,48.0,21.54
E4,device1,phi3:mini,short,25,17,30.1862,197.19,137,4.54,3516.9,49.9,21.54
E4,device1,phi3:mini,short,25,18,45.6175,388.82,137,3.0,3517.8,49.2,21.54
E4,device1,phi3:mini,short,25,19,38.7419,266.52,137,3.54,3518.1,49.2,21.54
E4,device1,phi3:mini,short,25,20,30.2215,215.95,137,4.53,3517.6,49.6,21.54
E4,device1,phi3:mini,short,25,21,30.8215,210.77,137,4.44,3519.7,49.4,21.54
E4,device1,phi3:mini,short,25,22,33.3955,227.58,137,4.1,3519.9,49.4,21.54
E4,device1,phi3:mini,short,25,23,35.3336,288.12,137,3.88,3527.0,52.3,21.54
E4,device1,phi3:mini,short,25,24,63.6039,215.42,137,2.15,3530.5,51.5,21.54
E4,device1,phi3:mini,short,25,25,43.9076,375.01,137,3.12,3630.2,57.5,21.54
E4,device1,phi3:mini,short,25,26,112.3348,324.86,137,1.22,3521.5,48.5,21.54
E4,device1,phi3:mini,short,25,27,33.5373,506.89,137,4.09,3518.3,49.4,21.54
E4,device1,phi3:mini,short,25,28,30.4235,202.34,137,4.5,3519.5,49.8,21.54
E4,device1,phi3:mini,short,25,29,40.0509,317.26,137,3.42,3520.8,49.0,21.54
E4,device1,phi3:mini,short,25,30,38.816,329.39,137,3.53,3521.1,49.5,21.54
E4,device1,phi3:mini,medium,177,1,35.3763,5359.06,93,2.63,3525.5,49.2,21.54
E4,device1,phi3:mini,medium,177,2,27.8034,292.67,93,3.34,3525.8,49.0,21.54
E4,device1,phi3:mini,medium,177,3,22.3952,208.43,93,4.15,3525.5,50.0,21.54
E4,device1,phi3:mini,medium,177,4,26.77,260.99,93,3.47,3527.9,48.7,21.54
E4,device1,phi3:mini,medium,177,5,20.7746,297.84,93,4.48,3527.9,49.9,21.54
E4,device1,phi3:mini,medium,177,6,22.8249,243.3,93,4.07,3528.3,49.7,21.54
E4,device1,phi3:mini,medium,177,7,20.1356,230.69,93,4.62,3528.9,49.7,21.54
E4,device1,phi3:mini,medium,177,8,20.1546,313.51,93,4.61,3528.8,49.6,21.54
E4,device1,phi3:mini,medium,177,9,21.9163,216.74,93,4.24,3528.1,49.7,21.54
E4,device1,phi3:mini,medium,177,10,19.3398,223.41,93,4.81,3528.0,49.7,21.54
E4,device1,phi3:mini,medium,177,11,20.5596,253.45,93,4.52,3527.0,49.8,21.54
E4,device1,phi3:mini,medium,177,12,23.346,220.79,93,3.98,3527.0,49.5,21.54
E4,device1,phi3:mini,medium,177,13,24.089,237.69,93,3.86,3527.5,49.6,21.54
E4,device1,phi3:mini,medium,177,14,24.7931,566.21,93,3.75,3526.5,49.6,21.54
E4,device1,phi3:mini,medium,177,15,75.9781,214.76,93,1.22,3526.5,46.8,21.54
E4,device1,phi3:mini,medium,177,16,105.7286,755.05,93,0.88,3525.6,46.4,21.54
E4,device1,phi3:mini,medium,177,17,22.551,304.87,93,4.12,3526.3,49.5,21.54
E4,device1,phi3:mini,medium,177,18,23.6694,222.16,93,3.93,3527.0,49.2,21.54
E4,device1,phi3:mini,medium,177,19,20.7692,198.08,93,4.48,3526.7,49.8,21.54
E4,device1,phi3:mini,medium,177,20,23.7024,242.4,93,3.92,3526.0,49.4,21.54
E4,device1,phi3:mini,medium,177,21,21.3621,210.93,93,4.35,3525.2,49.6,21.54
E4,device1,phi3:mini,medium,177,22,60.8105,495.12,93,1.53,3525.2,46.7,21.54
E4,device1,phi3:mini,medium,177,23,30.103,542.62,93,3.09,3524.9,49.3,21.54
E4,device1,phi3:mini,medium,177,24,26.9449,356.78,93,3.45,3525.6,49.1,21.54
E4,device1,phi3:mini,medium,177,25,23.2325,212.91,93,4.0,3526.8,49.8,21.54
E4,device1,phi3:mini,medium,177,26,21.8152,235.18,93,4.26,3526.6,49.5,21.54
E4,device1,phi3:mini,medium,177,27,26.0513,307.14,93,3.57,3527.8,49.3,21.54
E4,device1,phi3:mini,medium,177,28,25.557,311.29,93,3.64,3527.2,49.1,21.54
E4,device1,phi3:mini,medium,177,29,21.3519,246.84,93,4.36,3529.0,49.7,21.54
E4,device1,phi3:mini,medium,177,30,38.1038,225.5,93,2.44,3526.3,48.1,21.54
E4,device1,phi3:mini,long,387,1,85.7129,26537.0,150,1.75,3530.5,47.6,21.54
E4,device1,phi3:mini,long,387,2,39.3951,393.17,150,3.81,3532.6,49.6,21.54
E4,device1,phi3:mini,long,387,3,33.3765,229.62,150,4.49,3532.6,49.4,21.54
E4,device1,phi3:mini,long,387,4,25.3842,238.56,150,5.91,3533.3,49.7,21.54
E4,device1,phi3:mini,long,387,5,25.3184,174.3,150,5.92,3535.0,50.0,21.54
E4,device1,phi3:mini,long,387,6,26.2533,225.27,150,5.71,3535.2,49.7,21.54
E4,device1,phi3:mini,long,387,7,25.1855,175.96,150,5.96,3535.2,49.8,21.54
E4,device1,phi3:mini,long,387,8,25.3792,197.49,150,5.91,3535.7,49.8,21.54
E4,device1,phi3:mini,long,387,9,30.2,216.91,150,4.97,3537.4,49.6,21.54
E4,device1,phi3:mini,long,387,10,25.5539,238.46,150,5.87,3537.0,50.0,21.54
E4,device1,phi3:mini,long,387,11,25.974,189.56,150,5.77,3535.2,49.8,21.54
E4,device1,phi3:mini,long,387,12,27.0678,205.01,150,5.54,3534.7,49.9,21.54
E4,device1,phi3:mini,long,387,13,25.1539,180.11,150,5.96,3532.7,49.9,21.54
E4,device1,phi3:mini,long,387,14,25.5565,230.64,150,5.87,3534.3,49.8,21.54
E4,device1,phi3:mini,long,387,15,25.2695,230.8,150,5.94,3534.3,49.8,21.54
E4,device1,phi3:mini,long,387,16,25.544,186.58,150,5.87,3535.1,49.8,21.54
E4,device1,phi3:mini,long,387,17,25.5093,195.76,150,5.88,3535.3,49.8,21.54
E4,device1,phi3:mini,long,387,18,26.4422,219.73,150,5.67,3534.5,49.8,21.54
E4,device1,phi3:mini,long,387,19,24.532,198.88,150,6.11,3536.0,49.8,21.54
E4,device1,phi3:mini,long,387,20,25.0348,196.82,150,5.99,3536.9,49.7,21.54
E4,device1,phi3:mini,long,387,21,25.2524,176.0,150,5.94,3537.4,49.9,21.54
E4,device1,phi3:mini,long,387,22,25.0277,192.21,150,5.99,3536.4,49.9,21.54
E4,device1,phi3:mini,long,387,23,25.0872,213.76,150,5.98,3538.2,49.8,21.54
E4,device1,phi3:mini,long,387,24,25.0239,176.91,150,5.99,3538.2,49.9,21.54
E4,device1,phi3:mini,long,387,25,25.19,201.5,150,5.95,3534.6,49.8,21.54
E4,device1,phi3:mini,long,387,26,25.2811,183.7,150,5.93,3534.4,49.8,21.54
E4,device1,phi3:mini,long,387,27,25.6132,222.21,150,5.86,3537.0,49.8,21.54
E4,device1,phi3:mini,long,387,28,24.9504,182.92,150,6.01,3535.6,49.8,21.54
E4,device1,phi3:mini,long,387,29,25.8059,198.17,150,5.81,3534.6,49.8,21.54
E4,device1,phi3:mini,long,387,30,25.6757,184.65,150,5.84,3536.5,49.9,21.54
E4,device1,mistral:7b,short,25,1,51.115,7994.99,150,2.93,5258.3,44.9,34.12
E4,device1,mistral:7b,short,25,2,41.0321,254.45,150,3.66,5085.3,49.9,34.12
E4,device1,mistral:7b,short,25,3,38.2765,282.08,150,3.92,5088.2,49.9,34.12
E4,device1,mistral:7b,short,25,4,39.6825,279.79,150,3.78,5090.6,50.1,34.12
E4,device1,mistral:7b,short,25,5,38.1278,274.45,150,3.93,5092.4,50.1,34.12
E4,device1,mistral:7b,short,25,6,38.8547,272.31,150,3.86,5092.0,50.0,34.12
E4,device1,mistral:7b,short,25,7,37.7806,261.21,150,3.97,5091.9,50.2,34.12
E4,device1,mistral:7b,short,25,8,37.4625,270.88,150,4.0,5091.2,49.9,34.12
E4,device1,mistral:7b,short,25,9,37.9412,279.33,150,3.95,5092.8,49.8,34.12
E4,device1,mistral:7b,short,25,10,37.9205,275.64,150,3.96,5093.0,50.0,34.12
E4,device1,mistral:7b,short,25,11,38.5397,268.16,150,3.89,5093.8,50.0,34.12
E4,device1,mistral:7b,short,25,12,38.302,262.2,150,3.92,5093.5,50.0,34.12
E4,device1,mistral:7b,short,25,13,37.2473,288.86,150,4.03,5092.3,50.1,34.12
E4,device1,mistral:7b,short,25,14,37.2773,270.81,150,4.02,5094.1,50.0,34.12
E4,device1,mistral:7b,short,25,15,37.4506,279.39,150,4.01,5096.0,50.1,34.12
E4,device1,mistral:7b,short,25,16,38.3532,254.61,150,3.91,5096.4,50.0,34.12
E4,device1,mistral:7b,short,25,17,38.5372,268.21,150,3.89,5097.7,50.0,34.12
E4,device1,mistral:7b,short,25,18,37.8826,291.93,150,3.96,5097.9,50.1,34.12
E4,device1,mistral:7b,short,25,19,38.8949,291.92,150,3.86,5098.1,49.9,34.12
E4,device1,mistral:7b,short,25,20,38.663,277.68,150,3.88,5097.3,49.9,34.12
E4,device1,mistral:7b,short,25,21,37.8956,260.1,150,3.96,5097.3,50.2,34.12
E4,device1,mistral:7b,short,25,22,38.1781,273.81,150,3.93,5096.8,50.0,34.12
E4,device1,mistral:7b,short,25,23,40.2523,272.87,150,3.73,5096.4,50.0,34.12
E4,device1,mistral:7b,short,25,24,38.1724,274.46,150,3.93,5096.4,50.0,34.12
E4,device1,mistral:7b,short,25,25,38.0581,275.87,150,3.94,5095.8,49.9,34.12
E4,device1,mistral:7b,short,25,26,37.9485,278.36,150,3.95,5095.5,50.0,34.12
E4,device1,mistral:7b,short,25,27,38.0243,257.67,150,3.94,5092.1,50.0,34.12
E4,device1,mistral:7b,short,25,28,39.241,251.08,150,3.82,5093.5,49.9,34.12
E4,device1,mistral:7b,short,25,29,39.7956,273.09,150,3.77,5092.8,49.9,34.12
E4,device1,mistral:7b,short,25,30,37.7897,269.49,150,3.97,5095.0,50.0,34.12
E4,device1,mistral:7b,medium,177,1,39.1906,6351.66,130,3.32,5105.9,50.1,34.12
E4,device1,mistral:7b,medium,177,2,32.8153,276.19,130,3.96,5105.5,50.1,34.12
E4,device1,mistral:7b,medium,177,3,33.123,257.7,130,3.92,5107.7,49.9,34.12
E4,device1,mistral:7b,medium,177,4,33.8494,281.85,130,3.84,5106.3,49.9,34.12
E4,device1,mistral:7b,medium,177,5,33.037,280.01,130,3.93,5107.7,49.9,34.12
E4,device1,mistral:7b,medium,177,6,33.039,277.64,130,3.93,5109.4,50.0,34.12
E4,device1,mistral:7b,medium,177,7,33.0399,283.77,130,3.93,5109.4,50.0,34.12
E4,device1,mistral:7b,medium,177,8,32.8593,267.52,130,3.96,5109.4,49.9,34.12
E4,device1,mistral:7b,medium,177,9,33.8328,250.89,130,3.84,5109.3,49.9,34.12
E4,device1,mistral:7b,medium,177,10,34.0418,288.98,130,3.82,5111.8,50.0,34.12
E4,device1,mistral:7b,medium,177,11,33.1703,273.74,130,3.92,5110.6,49.8,34.12
E4,device1,mistral:7b,medium,177,12,33.9434,287.15,130,3.83,5109.8,50.0,34.12
E4,device1,mistral:7b,medium,177,13,33.0471,287.01,130,3.93,5109.2,50.0,34.12
E4,device1,mistral:7b,medium,177,14,33.9662,295.48,130,3.83,5111.2,49.9,34.12
E4,device1,mistral:7b,medium,177,15,32.8103,296.38,130,3.96,5111.2,50.0,34.12
E4,device1,mistral:7b,medium,177,16,33.5242,271.84,130,3.88,5107.7,49.9,34.12
E4,device1,mistral:7b,medium,177,17,33.6971,296.71,130,3.86,5107.9,49.9,34.12
E4,device1,mistral:7b,medium,177,18,33.4942,248.01,130,3.88,5108.6,50.0,34.12
E4,device1,mistral:7b,medium,177,19,33.6564,291.48,130,3.86,5108.1,50.0,34.12
E4,device1,mistral:7b,medium,177,20,33.9355,318.6,130,3.83,5107.4,49.9,34.12
E4,device1,mistral:7b,medium,177,21,34.0747,286.13,130,3.82,5107.3,50.2,34.12
E4,device1,mistral:7b,medium,177,22,34.0893,275.29,130,3.81,5108.0,49.8,34.12
E4,device1,mistral:7b,medium,177,23,33.3904,240.49,130,3.89,5108.0,49.9,34.12
E4,device1,mistral:7b,medium,177,24,33.2376,248.27,130,3.91,5108.7,50.0,34.12
E4,device1,mistral:7b,medium,177,25,33.1613,265.63,130,3.92,5110.2,50.1,34.12
E4,device1,mistral:7b,medium,177,26,33.5961,275.07,130,3.87,5110.4,50.0,34.12
E4,device1,mistral:7b,medium,177,27,34.6682,319.12,130,3.75,5111.1,50.0,34.12
E4,device1,mistral:7b,medium,177,28,33.6411,278.85,130,3.86,5111.4,50.0,34.12
E4,device1,mistral:7b,medium,177,29,33.2415,277.45,130,3.91,5111.6,50.2,34.12
E4,device1,mistral:7b,medium,177,30,34.4287,277.48,130,3.78,5111.8,49.9,34.12
E4,device1,mistral:7b,long,387,1,53.1374,13372.23,150,2.82,5119.0,50.2,34.12
E4,device1,mistral:7b,long,387,2,39.5088,277.05,150,3.8,5123.0,50.0,34.12
E4,device1,mistral:7b,long,387,3,38.6954,269.05,150,3.88,5123.6,50.1,34.12
E4,device1,mistral:7b,long,387,4,48.1592,280.12,150,3.11,5123.1,50.0,34.12
E4,device1,mistral:7b,long,387,5,48.8862,352.78,150,3.07,5124.5,50.1,34.12
E4,device1,mistral:7b,long,387,6,39.0543,262.7,150,3.84,5125.9,49.9,34.12
E4,device1,mistral:7b,long,387,7,38.8331,280.06,150,3.86,5126.3,49.8,34.12
E4,device1,mistral:7b,long,387,8,38.7817,265.5,150,3.87,5127.0,49.9,34.12
E4,device1,mistral:7b,long,387,9,39.2961,292.89,150,3.82,5127.0,49.9,34.12
E4,device1,mistral:7b,long,387,10,39.0577,283.74,150,3.84,5128.8,49.8,34.12
E4,device1,mistral:7b,long,387,11,40.0746,274.98,150,3.74,5129.3,49.9,34.12
E4,device1,mistral:7b,long,387,12,40.9324,276.91,150,3.66,5128.9,49.9,34.12
E4,device1,mistral:7b,long,387,13,38.8319,301.57,150,3.86,5129.1,50.0,34.12
E4,device1,mistral:7b,long,387,14,38.9979,285.48,150,3.85,5129.6,49.9,34.12
E4,device1,mistral:7b,long,387,15,38.6717,291.47,150,3.88,5127.9,49.9,34.12
E4,device1,mistral:7b,long,387,16,39.2458,273.1,150,3.82,5128.6,49.9,34.12
E4,device1,mistral:7b,long,387,17,39.2647,279.2,150,3.82,5127.1,49.9,34.12
E4,device1,mistral:7b,long,387,18,39.4809,285.55,150,3.8,5127.8,50.2,34.12
E4,device1,mistral:7b,long,387,19,38.8239,318.76,150,3.86,5128.6,50.0,34.12
E4,device1,mistral:7b,long,387,20,39.2677,273.87,150,3.82,5127.9,49.9,34.12
E4,device1,mistral:7b,long,387,21,39.2752,262.12,150,3.82,5127.8,49.9,34.12
E4,device1,mistral:7b,long,387,22,39.1112,249.33,150,3.84,5128.1,50.0,34.12
E4,device1,mistral:7b,long,387,23,39.5412,288.71,150,3.79,5127.6,50.1,34.12
E4,device1,mistral:7b,long,387,24,39.3372,279.38,150,3.81,5127.1,49.9,34.12
E4,device1,mistral:7b,long,387,25,39.0812,256.7,150,3.84,5127.1,50.0,34.12
E4,device1,mistral:7b,long,387,26,39.762,280.89,150,3.77,5125.8,49.9,34.12
E4,device1,mistral:7b,long,387,27,39.084,280.17,150,3.84,5125.8,50.0,34.12
E4,device1,mistral:7b,long,387,28,39.2398,288.12,150,3.82,5127.0,50.0,34.12
E4,device1,mistral:7b,long,387,29,38.9972,289.2,150,3.85,5128.4,49.9,34.12
E4,device1,mistral:7b,long,387,30,39.0449,276.94,150,3.84,5126.6,50.0,34.12
