experiment,device,model,condition,run,total_time_s,ttft_ms,tokens,tokens_per_sec,peak_ram_mb,avg_cpu_pct
E6,device1,tinyllama,cold,1,0.0018,1.7,0,0.0,1476.9,0.0
E6,device1,tinyllama,cold,2,0.0025,2.37,0,0.0,1476.5,0.8
E6,device1,tinyllama,cold,3,0.0017,1.64,0,0.0,1476.2,0.0
E6,device1,tinyllama,cold,4,0.0033,3.06,0,0.0,1476.6,0.8
E6,device1,tinyllama,cold,5,0.0036,3.37,0,0.0,1480.1,0.8
E6,device1,tinyllama,warm,1,0.0016,1.56,0,0.0,1480.1,0.8
E6,device1,tinyllama,warm,2,0.002,2.04,0,0.0,1480.1,0.0
E6,device1,tinyllama,warm,3,0.0017,1.75,0,0.0,1480.1,0.8
E6,device1,tinyllama,warm,4,0.0045,4.52,0,0.0,1480.1,0.0
E6,device1,tinyllama,warm,5,0.0017,1.69,0,0.0,1480.1,0.0
E6,device1,tinyllama,warm,6,0.0023,2.34,0,0.0,1480.1,0.0
E6,device1,tinyllama,warm,7,0.0043,4.28,0,0.0,1480.1,0.0
E6,device1,tinyllama,warm,8,0.0032,3.22,0,0.0,1480.1,0.0
E6,device1,tinyllama,warm,9,0.0029,2.88,0,0.0,1480.1,1.6
E6,device1,tinyllama,warm,10,0.003,3.01,0,0.0,1480.1,0.8
E6,device1,tinyllama,warm,11,0.0029,2.94,0,0.0,1480.1,0.0
E6,device1,tinyllama,warm,12,0.0019,1.87,0,0.0,1480.3,0.8
E6,device1,tinyllama,warm,13,0.0023,2.26,0,0.0,1480.3,0.0
E6,device1,tinyllama,warm,14,0.0017,1.71,0,0.0,1480.3,0.0
E6,device1,tinyllama,warm,15,0.002,2.02,0,0.0,1480.3,0.0
E6,device1,tinyllama,warm,16,0.002,1.99,0,0.0,1480.3,0.8
E6,device1,tinyllama,warm,17,0.0028,2.77,0,0.0,1480.3,2.5
E6,device1,tinyllama,warm,18,0.0029,2.9,0,0.0,1479.3,3.3
E6,device1,tinyllama,warm,19,0.0028,2.76,0,0.0,1478.6,0.0
E6,device1,tinyllama,warm,20,0.0031,3.12,0,0.0,1478.6,6.9
E6,device1,phi3:mini,cold,1,0.0029,2.74,0,0.0,1475.8,5.8
E6,device1,phi3:mini,cold,2,0.0042,4.0,0,0.0,1478.8,0.8
E6,device1,phi3:mini,cold,3,0.0035,3.27,0,0.0,1480.7,0.0
E6,device1,phi3:mini,cold,4,0.0067,6.07,0,0.0,1480.9,0.8
E6,device1,phi3:mini,cold,5,0.003,2.92,0,0.0,1479.7,0.0
E6,device1,phi3:mini,warm,1,0.0095,9.47,0,0.0,1479.7,1.7
E6,device1,phi3:mini,warm,2,0.0031,3.1,0,0.0,1479.7,0.8
E6,device1,phi3:mini,warm,3,0.004,4.02,0,0.0,1479.5,1.7
E6,device1,phi3:mini,warm,4,0.0039,3.94,0,0.0,1479.5,0.0
E6,device1,phi3:mini,warm,5,0.0036,3.59,0,0.0,1479.5,4.1
E6,device1,phi3:mini,warm,6,0.0052,5.15,0,0.0,1479.5,0.8
E6,device1,phi3:mini,warm,7,0.0041,4.09,0,0.0,1479.5,0.0
E6,device1,phi3:mini,warm,8,0.0045,4.49,0,0.0,1479.5,0.8
E6,device1,phi3:mini,warm,9,0.0029,2.91,0,0.0,1479.5,0.0
E6,device1,phi3:mini,warm,10,0.0023,2.31,0,0.0,1479.5,1.6
E6,device1,phi3:mini,warm,11,0.005,5.04,0,0.0,1479.5,0.0
E6,device1,phi3:mini,warm,12,0.002,2.01,0,0.0,1479.5,0.8
E6,device1,phi3:mini,warm,13,0.0022,2.18,0,0.0,1479.8,0.8
E6,device1,phi3:mini,warm,14,0.0021,2.13,0,0.0,1479.8,0.0
E6,device1,phi3:mini,warm,15,0.0021,2.15,0,0.0,1479.8,1.7
E6,device1,phi3:mini,warm,16,0.0024,2.36,0,0.0,1479.8,0.0
E6,device1,phi3:mini,warm,17,0.0027,2.75,0,0.0,1479.8,0.0
E6,device1,phi3:mini,warm,18,0.0034,3.39,0,0.0,1479.8,0.8
E6,device1,phi3:mini,warm,19,0.0026,2.59,0,0.0,1479.8,0.8
E6,device1,phi3:mini,warm,20,0.004,4.04,0,0.0,1479.8,1.6
E6,device1,qwen2.5:3b,cold,1,0.0024,2.27,0,0.0,1476.2,0.0
E6,device1,qwen2.5:3b,cold,2,0.0088,8.72,0,0.0,1477.3,0.8
E6,device1,qwen2.5:3b,cold,3,0.0037,3.62,0,0.0,1475.0,2.4
E6,device1,qwen2.5:3b,cold,4,0.0061,5.92,0,0.0,1478.2,0.0
E6,device1,qwen2.5:3b,cold,5,0.0026,2.51,0,0.0,1477.4,0.0
E6,device1,qwen2.5:3b,warm,1,0.0029,2.88,0,0.0,1477.4,0.0
E6,device1,qwen2.5:3b,warm,2,0.0019,1.9,0,0.0,1477.4,0.0
E6,device1,qwen2.5:3b,warm,3,0.0016,1.64,0,0.0,1477.4,0.8
E6,device1,qwen2.5:3b,warm,4,0.0031,3.11,0,0.0,1477.4,0.0
E6,device1,qwen2.5:3b,warm,5,0.0028,2.82,0,0.0,1477.4,0.0
E6,device1,qwen2.5:3b,warm,6,0.0038,3.82,0,0.0,1477.4,0.0
E6,device1,qwen2.5:3b,warm,7,0.0039,3.85,0,0.0,1477.4,0.0
E6,device1,qwen2.5:3b,warm,8,0.0036,3.62,0,0.0,1477.4,0.0
E6,device1,qwen2.5:3b,warm,9,0.004,3.95,0,0.0,1477.4,0.8
E6,device1,qwen2.5:3b,warm,10,0.0034,3.43,0,0.0,1477.4,0.0
E6,device1,qwen2.5:3b,warm,11,0.0039,3.89,0,0.0,1477.4,0.8
