experiment,device,model,run,total_time_s,ttft_ms,tokens,tokens_per_sec,peak_ram_mb,avg_cpu_pct,load_time_s
E1,device1,tinyllama,1,14.3377,2165.26,100,6.97,1269.3,45.8,3.85
E1,device1,tinyllama,2,14.2003,239.85,100,7.04,1274.2,48.0,3.85
E1,device1,tinyllama,3,15.3927,699.93,100,6.5,1276.9,46.3,3.85
E1,device1,tinyllama,4,6.3523,147.36,100,15.74,1276.0,48.9,3.85
E1,device1,tinyllama,5,6.3058,168.45,100,15.86,1277.5,48.2,3.85
E1,device1,tinyllama,6,6.136,164.81,100,16.3,1270.2,48.4,3.85
E1,device1,tinyllama,7,6.8068,167.76,100,14.69,1274.8,48.2,3.85
E1,device1,tinyllama,8,6.7621,175.92,100,14.79,1274.8,48.8,3.85
E1,device1,tinyllama,9,6.8056,166.88,100,14.69,1275.1,48.3,3.85
E1,device1,tinyllama,10,7.0124,163.34,100,14.26,1276.6,48.1,3.85
E1,device1,tinyllama,11,6.4544,195.53,100,15.49,1274.8,48.5,3.85
E1,device1,tinyllama,12,8.7246,165.28,100,11.46,1276.7,48.6,3.85
E1,device1,tinyllama,13,10.9787,238.33,100,9.11,1277.5,48.2,3.85
E1,device1,tinyllama,14,7.0371,388.71,100,14.21,1272.5,48.0,3.85
E1,device1,tinyllama,15,6.0686,152.69,100,16.48,1273.5,49.0,3.85
E1,device1,tinyllama,16,6.5832,160.0,100,15.19,1273.4,49.1,3.85
E1,device1,tinyllama,17,7.1172,161.66,100,14.05,1275.6,47.9,3.85
E1,device1,tinyllama,18,6.1517,160.2,100,16.26,1271.4,48.7,3.85
E1,device1,tinyllama,19,6.8412,155.32,100,14.62,1272.9,48.5,3.85
E1,device1,tinyllama,20,7.1242,213.83,100,14.04,1278.3,48.3,3.85
E1,device1,phi3:mini,1,53.8169,27370.05,100,1.86,4242.2,34.0,40.95
E1,device1,phi3:mini,2,20.504,246.66,100,4.88,3477.0,50.3,40.95
E1,device1,phi3:mini,3,22.7493,229.83,100,4.4,3479.9,49.5,40.95
E1,device1,phi3:mini,4,20.1051,532.93,100,4.97,3481.6,49.6,40.95
E1,device1,phi3:mini,5,18.5548,229.59,100,5.39,3482.8,50.0,40.95
E1,device1,phi3:mini,6,21.5495,234.0,100,4.64,3484.7,49.5,40.95
E1,device1,phi3:mini,7,36.4005,318.73,100,2.75,3507.0,49.1,40.95
E1,device1,phi3:mini,8,26.1941,361.17,100,3.82,3508.6,49.4,40.95
E1,device1,phi3:mini,9,25.5533,455.62,100,3.91,3508.1,49.4,40.95
E1,device1,phi3:mini,10,19.6451,224.71,100,5.09,3508.5,49.9,40.95
E1,device1,phi3:mini,11,20.0248,248.54,100,4.99,3508.5,49.7,40.95
E1,device1,phi3:mini,12,22.921,229.1,100,4.36,3509.4,49.7,40.95
E1,device1,phi3:mini,13,19.8591,229.87,100,5.04,3507.4,49.8,40.95
E1,device1,phi3:mini,14,30.4856,238.94,100,3.28,3510.9,49.1,40.95
E1,device1,phi3:mini,15,20.6176,295.64,100,4.85,3511.4,49.5,40.95
E1,device1,phi3:mini,16,24.0157,238.67,100,4.16,3507.8,49.6,40.95
E1,device1,phi3:mini,17,32.2583,242.79,100,3.1,3510.0,49.0,40.95
E1,device1,phi3:mini,18,22.5223,328.35,100,4.44,3510.2,49.6,40.95
E1,device1,phi3:mini,19,22.1697,284.48,100,4.51,3511.5,49.7,40.95
E1,device1,phi3:mini,20,23.6246,231.56,100,4.23,3511.2,49.6,40.95
E1,device1,qwen2.5:3b,1,24.3008,11028.51,73,3.0,2745.3,38.4,13.96
E1,device1,qwen2.5:3b,2,13.3271,536.63,73,5.48,2719.1,47.9,13.96
E1,device1,qwen2.5:3b,3,16.2188,700.29,73,4.5,2725.1,47.5,13.96
E1,device1,qwen2.5:3b,4,12.9125,487.64,73,5.65,2727.3,47.6,13.96
E1,device1,qwen2.5:3b,5,14.7804,600.34,73,4.94,2727.7,47.6,13.96
E1,device1,qwen2.5:3b,6,13.2462,406.24,73,5.51,2726.9,48.0,13.96
E1,device1,qwen2.5:3b,7,12.0842,407.79,73,6.04,2729.4,48.4,13.96
E1,device1,qwen2.5:3b,8,12.2388,443.04,73,5.96,2729.0,48.1,13.96
E1,device1,qwen2.5:3b,9,12.3794,480.37,73,5.9,2733.0,48.2,13.96
E1,device1,qwen2.5:3b,10,13.6507,458.78,73,5.35,2736.8,48.0,13.96
E1,device1,qwen2.5:3b,11,17.9708,427.01,73,4.06,2737.4,48.3,13.96
E1,device1,qwen2.5:3b,12,21.2659,1776.15,73,3.43,2740.9,46.6,13.96
E1,device1,qwen2.5:3b,13,30.597,834.56,73,2.39,2742.3,47.0,13.96
E1,device1,qwen2.5:3b,14,53.925,1222.5,73,1.35,2726.4,46.0,13.96
E1,device1,qwen2.5:3b,15,34.201,1208.42,73,2.13,2725.3,47.2,13.96
E1,device1,qwen2.5:3b,16,19.9832,545.61,73,3.65,2726.8,48.1,13.96
E1,device1,qwen2.5:3b,17,17.67,658.81,73,4.13,2726.6,47.5,13.96
E1,device1,qwen2.5:3b,18,14.477,494.33,73,5.04,2726.6,47.7,13.96
E1,device1,qwen2.5:3b,19,13.9906,533.57,73,5.22,2726.8,47.8,13.96
E1,device1,qwen2.5:3b,20,13.6081,434.53,73,5.36,2731.0,48.0,13.96
E1,device1,mistral:7b,1,115.955,62203.83,98,0.85,5371.2,30.1,78.05
E1,device1,mistral:7b,2,35.6029,473.76,98,2.75,5067.9,49.7,78.05
E1,device1,mistral:7b,3,34.1573,353.22,98,2.87,5072.4,50.0,78.05
E1,device1,mistral:7b,4,38.2817,369.33,98,2.56,5074.4,49.8,78.05
E1,device1,mistral:7b,5,39.7182,410.19,98,2.47,5074.4,49.8,78.05
E1,device1,mistral:7b,6,38.9402,506.48,98,2.52,5072.6,49.8,78.05
E1,device1,mistral:7b,7,37.0169,374.41,98,2.65,5075.0,50.1,78.05
E1,device1,mistral:7b,8,46.1501,366.36,98,2.12,5075.5,49.8,78.05
E1,device1,mistral:7b,9,34.3602,518.85,98,2.85,5076.7,49.9,78.05
E1,device1,mistral:7b,10,39.785,414.2,98,2.46,5075.7,49.9,78.05
E1,device1,mistral:7b,11,43.7981,427.03,98,2.24,5100.2,51.8,78.05
E1,device1,mistral:7b,12,44.9396,454.44,98,2.18,5079.5,50.0,78.05
E1,device1,mistral:7b,13,45.8143,385.69,98,2.14,5083.6,49.6,78.05
E1,device1,mistral:7b,14,44.8203,377.6,98,2.19,5085.7,49.6,78.05
E1,device1,mistral:7b,15,33.7111,456.47,98,2.91,5085.7,49.8,78.05
E1,device1,mistral:7b,16,35.7809,397.62,98,2.74,5086.1,50.0,78.05
E1,device1,mistral:7b,17,33.0136,354.76,98,2.97,5087.6,49.9,78.05
E1,device1,mistral:7b,18,34.9502,368.78,98,2.8,5087.9,50.0,78.05
E1,device1,mistral:7b,19,34.1066,356.56,98,2.87,5088.4,50.0,78.05
E1,device1,mistral:7b,20,33.8049,380.09,98,2.9,5088.9,49.9,78.05
