experiment,device,model,run,total_time_s,ttft_ms,tokens,tokens_per_sec,peak_ram_mb,avg_cpu_pct,load_time_s
E2-throughput,device1,tinyllama,1,10.7419,3808.45,100,9.31,1315.4,44.3,4.86
E2-throughput,device1,tinyllama,2,6.4215,160.0,100,15.57,1313.5,48.1,4.86
E2-throughput,device1,tinyllama,3,6.3778,177.54,100,15.68,1315.6,48.9,4.86
E2-throughput,device1,tinyllama,4,6.4833,181.02,100,15.42,1314.2,49.1,4.86
E2-throughput,device1,tinyllama,5,6.8166,238.04,100,14.67,1316.4,48.0,4.86
E2-throughput,device1,tinyllama,6,6.8064,184.22,100,14.69,1316.4,48.2,4.86
E2-throughput,device1,tinyllama,7,6.3853,155.37,100,15.66,1312.6,49.1,4.86
E2-throughput,device1,tinyllama,8,6.3265,148.26,100,15.81,1313.0,48.6,4.86
E2-throughput,device1,tinyllama,9,6.4189,149.02,100,15.58,1313.5,48.5,4.86
E2-throughput,device1,tinyllama,10,6.4208,162.07,100,15.57,1316.0,48.5,4.86
E2-throughput,device1,tinyllama,11,7.3082,162.17,100,13.68,1315.6,49.0,4.86
E2-throughput,device1,tinyllama,12,6.5062,158.51,100,15.37,1312.2,48.3,4.86
E2-throughput,device1,tinyllama,13,6.2835,171.38,100,15.91,1316.7,48.8,4.86
E2-throughput,device1,tinyllama,14,6.6676,152.56,100,15.0,1320.1,48.9,4.86
E2-throughput,device1,tinyllama,15,6.4964,150.16,100,15.39,1317.8,48.2,4.86
E2-throughput,device1,tinyllama,16,7.4636,166.92,100,13.4,1320.0,48.5,4.86
E2-throughput,device1,tinyllama,17,6.9113,152.09,100,14.47,1320.2,47.9,4.86
E2-throughput,device1,tinyllama,18,6.4568,170.25,100,15.49,1322.8,48.5,4.86
E2-throughput,device1,tinyllama,19,9.3662,151.11,100,10.68,1321.9,48.4,4.86
E2-throughput,device1,tinyllama,20,7.2477,202.68,100,13.8,1321.8,48.2,4.86
E2-throughput,device1,tinyllama-q5,1,0.0038,3.8,0,0.0,631.1,0.0,0.01
E2-throughput,device1,tinyllama-q5,2,0.005,4.98,0,0.0,630.9,0.0,0.01
E2-throughput,device1,tinyllama-q5,3,0.0054,5.41,0,0.0,630.9,0.8,0.01
E2-throughput,device1,tinyllama-q5,4,0.0082,8.21,0,0.0,630.9,0.8,0.01
E2-throughput,device1,tinyllama-q5,5,0.0047,4.66,0,0.0,630.9,0.8,0.01
E2-throughput,device1,tinyllama-q5,6,0.0057,5.66,0,0.0,630.9,0.0,0.01
E2-throughput,device1,tinyllama-q5,7,0.0047,4.75,0,0.0,630.9,1.6,0.01
E2-throughput,device1,tinyllama-q5,8,0.0065,6.52,0,0.0,631.0,0.8,0.01
E2-throughput,device1,tinyllama-q5,9,0.0075,7.49,0,0.0,631.0,0.0,0.01
E2-throughput,device1,tinyllama-q5,10,0.0057,5.67,0,0.0,631.0,0.8,0.01
E2-throughput,device1,tinyllama-q5,11,0.0059,5.87,0,0.0,631.2,0.8,0.01
E2-throughput,device1,tinyllama-q5,12,0.0104,10.41,0,0.0,631.2,0.8,0.01
E2-throughput,device1,tinyllama-q5,13,0.0073,7.28,0,0.0,631.2,0.8,0.01
E2-throughput,device1,tinyllama-q5,14,0.0062,6.16,0,0.0,631.2,0.8,0.01
E2-throughput,device1,tinyllama-q5,15,0.011,11.0,0,0.0,631.2,0.8,0.01
E2-throughput,device1,tinyllama-q5,16,0.0058,5.77,0,0.0,631.2,1.6,0.01
E2-throughput,device1,tinyllama-q5,17,0.0075,7.54,0,0.0,631.2,1.6,0.01
E2-throughput,device1,tinyllama-q5,18,0.0048,4.83,0,0.0,631.2,0.0,0.01
E2-throughput,device1,tinyllama-q5,19,0.0073,7.33,0,0.0,631.2,0.0,0.01
E2-throughput,device1,tinyllama-q5,20,0.0049,4.86,0,0.0,631.2,0.8,0.01
E2-throughput,device1,tinyllama-q8,1,0.0075,7.54,0,0.0,633.5,1.6,0.01
E2-throughput,device1,tinyllama-q8,2,0.005,4.97,0,0.0,633.3,0.8,0.01
E2-throughput,device1,tinyllama-q8,3,0.0057,5.72,0,0.0,633.2,0.0,0.01
E2-throughput,device1,tinyllama-q8,4,0.0055,5.5,0,0.0,633.2,0.0,0.01
E2-throughput,device1,tinyllama-q8,5,0.0045,4.46,0,0.0,633.2,0.0,0.01
E2-throughput,device1,tinyllama-q8,6,0.0046,4.63,0,0.0,633.2,1.6,0.01
E2-throughput,device1,tinyllama-q8,7,0.0055,5.48,0,0.0,633.0,0.8,0.01
