experiment,device,model,run,total_time_s,ttft_ms,tokens,tokens_per_sec,peak_ram_mb,avg_cpu_pct,load_time_s
E1,device1,tinyllama,1,23.1645,12956.9,100,4.32,6278.6,32.4,30.11
E1,device1,tinyllama,2,9.1058,285.73,100,10.98,6262.6,47.9,30.11
E1,device1,tinyllama,3,8.7123,754.25,100,11.48,6262.1,47.4,30.11
E1,device1,tinyllama,4,7.1549,311.56,100,13.98,6265.3,47.6,30.11
E1,device1,tinyllama,5,7.1625,173.86,100,13.96,6264.9,48.2,30.11
E1,device1,tinyllama,6,7.6542,244.16,100,13.06,6264.5,47.7,30.11
E1,device1,tinyllama,7,9.0448,262.38,100,11.06,6266.3,48.5,30.11
E1,device1,tinyllama,8,8.573,267.9,100,11.66,6271.7,48.3,30.11
E1,device1,tinyllama,9,7.7339,304.56,100,12.93,6275.5,47.7,30.11
E1,device1,tinyllama,10,8.4018,253.08,100,11.9,6275.9,52.9,30.11
E1,device1,tinyllama,11,10.7165,269.9,100,9.33,1660.6,55.1,30.11
E1,device1,tinyllama,12,10.8039,235.14,100,9.26,1546.6,48.8,30.11
E1,device1,tinyllama,13,9.9871,243.64,100,10.01,1533.2,48.3,30.11
E1,device1,tinyllama,14,11.2371,314.46,100,8.9,1537.6,48.0,30.11
E1,device1,tinyllama,15,8.7858,221.79,100,11.38,1538.8,48.4,30.11
E1,device1,tinyllama,16,9.1348,217.51,100,10.95,1535.2,48.6,30.11
E1,device1,tinyllama,17,7.611,252.52,100,13.14,1538.0,48.4,30.11
E1,device1,tinyllama,18,8.3176,240.66,100,12.02,1539.5,48.4,30.11
E1,device1,tinyllama,19,8.6936,186.33,100,11.5,1536.0,48.8,30.11
E1,device1,tinyllama,20,7.28,189.14,100,13.74,1538.3,48.5,30.11
E1,device1,phi3:mini,1,32.0863,9449.23,100,3.12,4488.8,43.0,31.22
E1,device1,phi3:mini,2,23.3342,269.43,100,4.29,3718.4,49.7,31.22
E1,device1,phi3:mini,3,22.7618,272.97,100,4.39,3722.0,49.7,31.22
E1,device1,phi3:mini,4,24.6896,285.47,100,4.05,3725.7,49.6,31.22
E1,device1,phi3:mini,5,23.529,360.85,100,4.25,3727.2,49.5,31.22
E1,device1,phi3:mini,6,22.111,243.91,100,4.52,3728.7,49.7,31.22
E1,device1,phi3:mini,7,28.6573,340.61,100,3.49,3729.9,49.4,31.22
E1,device1,phi3:mini,8,25.2037,361.92,100,3.97,3729.3,49.5,31.22
E1,device1,phi3:mini,9,24.7903,316.72,100,4.03,3726.1,49.6,31.22
E1,device1,phi3:mini,10,27.858,347.79,100,3.59,3727.0,49.6,31.22
E1,device1,phi3:mini,11,24.1995,386.03,100,4.13,3729.9,49.5,31.22
E1,device1,phi3:mini,12,25.4956,289.35,100,3.92,3730.6,49.5,31.22
E1,device1,phi3:mini,13,22.039,277.82,100,4.54,3731.4,49.7,31.22
E1,device1,phi3:mini,14,23.3832,249.79,100,4.28,3730.6,49.9,31.22
E1,device1,phi3:mini,15,23.788,298.69,100,4.2,3728.3,49.8,31.22
E1,device1,phi3:mini,16,25.2206,285.35,100,3.97,3728.6,49.5,31.22
E1,device1,phi3:mini,17,20.0614,229.25,100,4.98,3728.3,50.0,31.22
E1,device1,phi3:mini,18,20.312,242.76,100,4.92,3727.1,49.8,31.22
E1,device1,phi3:mini,19,19.2973,236.34,100,5.18,3729.5,49.6,31.22
E1,device1,phi3:mini,20,26.7171,238.84,100,3.74,3731.1,49.1,31.22
