experiment,device,model,sample_id,expected,predicted,correct,tokens_per_sec,ttft_ms
E2-accuracy,device1,tinyllama,1,inquiry,"response:
hi i am unable to provide",False,1.33,6916.22
E2-accuracy,device1,tinyllama,2,inquiry,"response:
sure! the email is a",False,3.23,2578.56
E2-accuracy,device1,tinyllama,3,inquiry,"response:
return policy: this email falls under",False,3.31,2521.11
E2-accuracy,device1,tinyllama,4,inquiry,"response:
based on the provided email",False,3.5,2290.71
E2-accuracy,device1,tinyllama,5,inquiry,"response:
the email is classified as a",False,3.29,2418.52
E2-accuracy,device1,tinyllama,6,inquiry,"response:
yes your payment of rs",False,3.25,2506.57
E2-accuracy,device1,tinyllama,7,inquiry,"response:
category: inquiry

thank",True,3.54,2265.29
E2-accuracy,device1,tinyllama,8,inquiry,"response:
the email is classified as a",False,3.53,2303.07
E2-accuracy,device1,tinyllama,9,inquiry,"response:
yes we do offer bulk disc",False,3.68,2225.69
E2-accuracy,device1,tinyllama,10,inquiry,"response:
yes the new 20",False,3.19,2661.7
E2-accuracy,device1,tinyllama,11,complaint,"response:
category: complaint

thank",True,3.61,2262.27
E2-accuracy,device1,tinyllama,12,complaint,"response:
category: complaint

thank",True,3.56,2293.72
E2-accuracy,device1,tinyllama,13,complaint,"response:
category: complaint

thank",True,3.23,2615.48
E2-accuracy,device1,tinyllama,14,complaint,"response:
the email is classified as an",False,3.31,2533.05
E2-accuracy,device1,tinyllama,15,complaint,"response:
the email is classified as an",False,3.72,2145.58
E2-accuracy,device1,tinyllama,16,complaint,"response:
category: complaint

i",True,3.3,2501.65
E2-accuracy,device1,tinyllama,17,complaint,"response:
catgoer: (sent",False,3.18,2656.3
E2-accuracy,device1,tinyllama,18,complaint,"response:
category: complaint",True,2.49,2419.16
E2-accuracy,device1,tinyllama,19,complaint,"response:
category: complaint

thank",True,3.1,2714.07
E2-accuracy,device1,tinyllama,20,complaint,"response:
the email has been classified as",False,3.25,2595.41
E2-accuracy,device1,tinyllama,21,feedback,"response:
thank you for your feedback! we",True,3.73,2196.37
E2-accuracy,device1,tinyllama,22,feedback,"response:
thank you for sharing your feedback!",True,3.8,2124.75
E2-accuracy,device1,tinyllama,23,feedback,"response:
catgoer: thank you for",False,3.55,2311.29
E2-accuracy,device1,tinyllama,24,feedback,"response:
thank you for your email we",False,3.46,2401.09
E2-accuracy,device1,tinyllama,25,feedback,"response:
sure! here's how",False,3.43,2343.31
E2-accuracy,device1,tinyllama,26,feedback,"response:
thank you for your feedback! we",True,3.12,2685.98
E2-accuracy,device1,tinyllama,27,feedback,"response:
catgoeries: inquiry",False,3.31,2530.32
E2-accuracy,device1,tinyllama,28,feedback,"response:
the email is classified as an",False,3.88,2097.19
E2-accuracy,device1,tinyllama,29,feedback,"response:
thank you for your feedback! we",True,3.49,2351.71
E2-accuracy,device1,tinyllama,30,feedback,"response:
category: complaint

thank",False,3.8,2115.91
E2-accuracy,device1,tinyllama,31,spam,response: congratulations! you have won a,False,3.08,2768.27
E2-accuracy,device1,tinyllama,32,spam,"response:
catgoer: thank you for",False,3.22,2607.71
E2-accuracy,device1,tinyllama,33,spam,"response:
category: inquiry

thank",False,3.58,2280.11
E2-accuracy,device1,tinyllama,34,spam,"response:
dear valued customer",False,3.07,2787.55
E2-accuracy,device1,tinyllama,35,spam,"response:
the email is classified as """,False,3.39,2475.17
E2-accuracy,device1,tinyllama,36,spam,"response:
categoary: inquiry",False,2.88,2877.57
E2-accuracy,device1,tinyllama,37,spam,"response:
category: complaint

thank",False,3.24,2617.31
E2-accuracy,device1,tinyllama,38,spam,"response:
catgoer: ""sure",False,3.21,2641.63
E2-accuracy,device1,tinyllama,39,spam,"response:
categoory: complaint",False,2.92,2931.6
E2-accuracy,device1,tinyllama,40,spam,"response:
categoary: investment",False,2.92,2955.63
E2-accuracy,device1,tinyllama,41,urgent,"response:
catgo: urgent: server",True,3.38,2467.24
E2-accuracy,device1,tinyllama,42,urgent,"response:
category: urgent

i",True,3.75,2152.86
E2-accuracy,device1,tinyllama,43,urgent,"response:
category: complaint

thank",False,3.48,2354.64
E2-accuracy,device1,tinyllama,44,urgent,"response:
categoory: complaint",False,3.09,2763.13
E2-accuracy,device1,tinyllama,45,urgent,"response:
catgoer: ""sure",False,3.58,2282.83
