experiment,device,model,run,total_time_s,ttft_ms,tokens,tokens_per_sec,peak_ram_mb,avg_cpu_pct,load_time_s
E2-throughput,device1,tinyllama,1,3.7839,1362.11,100,26.43,1271.1,42.1,1.84
E2-throughput,device1,tinyllama,2,4.2054,80.57,100,23.78,1280.0,48.5,1.84
E2-throughput,device1,tinyllama,3,9.0491,216.87,100,11.05,1282.7,48.3,1.84
E2-throughput,device1,tinyllama,4,7.2821,177.75,100,13.73,1282.2,48.8,1.84
E2-throughput,device1,tinyllama,5,6.9268,359.94,100,14.44,1284.8,47.4,1.84
E2-throughput,device1,tinyllama,6,6.501,184.45,100,15.38,1287.0,48.2,1.84
E2-throughput,device1,tinyllama,7,6.5865,176.8,100,15.18,1287.2,48.8,1.84
E2-throughput,device1,tinyllama,8,6.726,161.22,100,14.87,1286.5,48.5,1.84
E2-throughput,device1,tinyllama,9,11.291,235.69,100,8.86,1286.5,47.8,1.84
E2-throughput,device1,tinyllama,10,7.529,173.36,100,13.28,1285.0,48.5,1.84
E2-throughput,device1,tinyllama,11,6.9031,154.4,100,14.49,1288.3,48.3,1.84
E2-throughput,device1,tinyllama,12,6.3586,155.3,100,15.73,1285.9,48.9,1.84
E2-throughput,device1,tinyllama,13,8.7863,240.89,100,11.38,1289.6,48.0,1.84
E2-throughput,device1,tinyllama,14,6.6938,401.61,100,14.94,1289.3,47.8,1.84
E2-throughput,device1,tinyllama,15,6.3354,168.85,100,15.78,1289.6,48.3,1.84
E2-throughput,device1,tinyllama,16,6.4592,169.7,100,15.48,1291.1,48.8,1.84
E2-throughput,device1,tinyllama,17,6.2937,162.02,100,15.89,1291.1,48.1,1.84
E2-throughput,device1,tinyllama,18,6.3894,170.03,100,15.65,1290.4,48.1,1.84
E2-throughput,device1,tinyllama,19,9.4962,147.33,100,10.53,1291.0,48.7,1.84
E2-throughput,device1,tinyllama,20,6.7087,174.74,100,14.91,1292.1,48.2,1.84
E2-throughput,device1,tinyllama-q5,1,5.5564,1437.58,100,18.0,1438.9,42.1,1.89
E2-throughput,device1,tinyllama-q5,2,8.1659,175.74,100,12.25,1443.8,48.8,1.89
E2-throughput,device1,tinyllama-q5,3,6.2016,159.18,100,16.12,1447.5,48.4,1.89
E2-throughput,device1,tinyllama-q5,4,6.3511,147.87,100,15.75,1447.5,48.9,1.89
E2-throughput,device1,tinyllama-q5,5,6.345,152.63,100,15.76,1442.3,48.9,1.89
E2-throughput,device1,tinyllama-q5,6,6.34,175.18,100,15.77,1447.0,48.6,1.89
E2-throughput,device1,tinyllama-q5,7,6.0548,146.28,100,16.52,1447.2,49.0,1.89
E2-throughput,device1,tinyllama-q5,8,6.4,170.36,100,15.63,1449.2,48.6,1.89
E2-throughput,device1,tinyllama-q5,9,6.1986,145.35,100,16.13,1449.2,48.3,1.89
E2-throughput,device1,tinyllama-q5,10,8.1022,167.54,100,12.34,1449.4,49.1,1.89
E2-throughput,device1,tinyllama-q5,11,6.5177,158.21,100,15.34,1448.9,48.4,1.89
E2-throughput,device1,tinyllama-q5,12,6.2202,139.51,100,16.08,1448.4,48.5,1.89
E2-throughput,device1,tinyllama-q5,13,6.2055,155.64,100,16.11,1448.1,48.6,1.89
E2-throughput,device1,tinyllama-q5,14,6.2179,148.0,100,16.08,1453.0,48.6,1.89
E2-throughput,device1,tinyllama-q5,15,6.2903,144.57,100,15.9,1450.9,48.6,1.89
E2-throughput,device1,tinyllama-q5,16,6.5087,162.36,100,15.36,1453.8,48.8,1.89
E2-throughput,device1,tinyllama-q5,17,7.0001,168.04,100,14.29,1454.7,48.3,1.89
E2-throughput,device1,tinyllama-q5,18,6.9472,162.78,100,14.39,1454.5,48.6,1.89
E2-throughput,device1,tinyllama-q5,19,6.7611,171.03,100,14.79,1451.6,48.7,1.89
E2-throughput,device1,tinyllama-q5,20,6.5122,155.9,100,15.36,1454.3,48.4,1.89
E2-throughput,device1,tinyllama-q8,1,16.2958,6223.47,100,6.14,1836.5,40.5,10.57
E2-throughput,device1,tinyllama-q8,2,8.7186,172.64,100,11.47,1841.6,48.4,10.57
E2-throughput,device1,tinyllama-q8,3,8.1382,182.96,100,12.29,1846.3,48.3,10.57
E2-throughput,device1,tinyllama-q8,4,9.9299,165.09,100,10.07,1846.3,48.2,10.57
E2-throughput,device1,tinyllama-q8,5,11.1478,192.29,100,8.97,1841.7,48.3,10.57
E2-throughput,device1,tinyllama-q8,6,9.9315,558.73,100,10.07,1847.3,48.4,10.57
E2-throughput,device1,tinyllama-q8,7,6.8112,175.81,100,14.68,1850.7,48.8,10.57
E2-throughput,device1,tinyllama-q8,8,9.189,177.17,100,10.88,1849.4,48.3,10.57
E2-throughput,device1,tinyllama-q8,9,7.1976,178.08,100,13.89,1849.8,49.0,10.57
E2-throughput,device1,tinyllama-q8,10,9.0733,166.57,100,11.02,1853.4,48.4,10.57
