experiment,device,model,run,single_time_s,single_tokens,single_toks,single_ttft_ms,agent_chain_s,step1_s,step2_s,step3_s,linear_expected_s,overhead_ratio,chain_completed,single_ram_mb,agent_ram_mb
E3,device3,tinyllama,1,2.0879,50,23.95,1747.31,0.8656,0.2481,0.2409,0.3765,6.2637,0.1382,True,1170.4,1045.8
E3,device3,tinyllama,2,0.4078,50,122.6,76.21,0.8786,0.2588,0.2444,0.3753,1.2234,0.7181,True,1046.3,1046.3
E3,device3,tinyllama,3,0.3834,50,130.42,58.43,0.866,0.2439,0.2424,0.3796,1.1502,0.7529,True,1048.3,1051.8
E3,device3,tinyllama,4,0.3878,50,128.92,58.79,0.8593,0.2419,0.2433,0.3739,1.1634,0.7386,True,1051.1,1050.9
E3,device3,tinyllama,5,0.3821,50,130.85,60.19,0.8629,0.2495,0.241,0.3723,1.1463,0.7528,True,1049.2,1054.3
E3,device3,tinyllama,6,0.392,50,127.55,64.58,0.87,0.2447,0.2458,0.3793,1.176,0.7398,True,1055.2,1058.2
E3,device3,tinyllama,7,0.3858,50,129.59,55.99,0.8645,0.2424,0.2438,0.3782,1.1574,0.747,True,1053.5,1054.3
E3,device3,tinyllama,8,0.3918,50,127.63,63.95,0.8624,0.246,0.2394,0.3767,1.1754,0.7337,True,1054.3,1056.1
E3,device3,tinyllama,9,0.3931,50,127.2,65.03,0.8642,0.2438,0.2411,0.3791,1.1793,0.7328,True,1056.7,1057.0
E3,device3,tinyllama,10,0.4088,50,122.3,75.76,0.8827,0.2577,0.2448,0.3801,1.2264,0.7198,True,1057.0,1058.3
E3,device3,tinyllama,11,0.3787,50,132.03,54.42,0.8653,0.2452,0.2415,0.3785,1.1361,0.7616,True,1057.7,1061.0
E3,device3,tinyllama,12,0.3787,50,132.04,56.0,0.8665,0.2456,0.2455,0.3753,1.1361,0.7627,True,1060.9,1060.2
E3,device3,tinyllama,13,0.3898,50,128.28,61.26,0.8649,0.2446,0.2429,0.3773,1.1694,0.7396,True,1054.5,1060.0
E3,device3,tinyllama,14,0.3833,50,130.45,56.5,0.8736,0.2503,0.2425,0.3806,1.1499,0.7597,True,1061.3,1061.6
E3,device3,tinyllama,15,0.3834,50,130.41,51.27,0.867,0.2478,0.2442,0.3749,1.1502,0.7538,True,1059.6,1060.3
E3,device3,tinyllama,16,0.3953,50,126.49,69.45,0.8661,0.2457,0.2437,0.3766,1.1859,0.7303,True,1061.6,1063.7
E3,device3,tinyllama,17,0.3948,50,126.65,60.5,0.8627,0.2416,0.2428,0.3782,1.1844,0.7284,True,1063.7,1062.7
E3,device3,tinyllama,18,0.3879,50,128.89,60.65,0.8708,0.253,0.2419,0.3757,1.1637,0.7483,True,1062.7,1062.9
E3,device3,tinyllama,19,0.3977,50,125.73,71.69,0.8613,0.2435,0.2425,0.3752,1.1931,0.7219,True,1062.4,1060.8
E3,device3,tinyllama,20,0.3871,50,129.15,61.0,0.8681,0.2431,0.2435,0.3813,1.1613,0.7475,True,1059.3,1061.2
E3,device3,tinyllama,21,0.4001,50,124.97,68.07,0.8717,0.2436,0.2489,0.3791,1.2003,0.7262,True,1061.7,1062.2
E3,device3,tinyllama,22,0.3948,50,126.66,59.85,0.8684,0.2447,0.2465,0.377,1.1844,0.7332,True,1062.2,1064.3
E3,device3,tinyllama,23,0.389,50,128.54,55.68,0.8779,0.2525,0.2494,0.3758,1.167,0.7523,True,1060.9,1065.6
E3,device3,tinyllama,24,0.3954,50,126.45,59.32,0.8719,0.2477,0.2454,0.3786,1.1862,0.735,True,1062.0,1062.7
E3,device3,tinyllama,25,0.3899,50,128.23,62.09,0.8639,0.2463,0.243,0.3745,1.1697,0.7386,True,1059.0,1061.2
E3,device3,tinyllama,26,0.3934,50,127.09,60.1,0.8682,0.2462,0.2453,0.3767,1.1802,0.7357,True,1061.2,1067.3
E3,device3,tinyllama,27,0.3955,50,126.43,65.7,0.8801,0.2504,0.2466,0.383,1.1865,0.7418,True,1067.3,1063.7
E3,device3,tinyllama,28,0.3895,50,128.36,57.73,0.8639,0.2496,0.2394,0.3747,1.1685,0.7393,True,1064.6,1066.5
E3,device3,tinyllama,29,0.3937,50,126.99,70.53,0.8674,0.245,0.2447,0.3776,1.1811,0.7344,True,1063.2,1065.1
E3,device3,tinyllama,30,0.3951,50,126.55,66.8,0.8664,0.2456,0.2455,0.3752,1.1853,0.7309,True,1066.1,1066.3
E3,device3,phi3:mini,1,3.2137,24,7.47,2699.98,2.1053,0.4703,0.5325,1.1023,9.6411,0.2184,True,1479.8,1088.8
E3,device3,phi3:mini,2,0.578,24,41.52,67.58,2.1035,0.4722,0.5316,1.0996,1.734,1.2131,True,1059.5,1059.0
