experiment,device,model,run,total_time_s,ttft_ms,tokens,tokens_per_sec,peak_ram_mb,avg_cpu_pct,load_time_s,initial_error_type,recovery_attempted,recovery_successful
E4,device2,phi3:mini,1,20.0593,13928.36,51,2.54,4143.6,37.3,17.04,Success,False,False
E4,device2,phi3:mini,2,6.1524,143.27,51,8.29,3388.7,50.5,17.04,Success,False,False
E4,device2,phi3:mini,3,5.8779,146.13,51,8.68,3391.5,51.6,17.04,Success,False,False
E4,device2,phi3:mini,4,5.843,139.69,51,8.73,3394.0,50.8,17.04,Success,False,False
E4,device2,phi3:mini,5,5.9709,146.58,51,8.54,3389.2,51.4,17.04,Success,False,False
E4,device2,phi3:mini,6,6.0127,146.28,51,8.48,3392.0,52.4,17.04,Success,False,False
E4,device2,phi3:mini,7,6.0448,149.92,51,8.44,3395.7,51.7,17.04,Success,False,False
E4,device2,phi3:mini,8,5.9856,145.75,51,8.52,3399.2,52.1,17.04,Success,False,False
E4,device2,phi3:mini,9,6.0278,141.24,51,8.46,3399.2,51.5,17.04,Success,False,False
E4,device2,phi3:mini,10,6.1343,146.24,51,8.31,3395.0,52.0,17.04,Success,False,False
E4,device2,phi3:mini,11,6.0832,142.14,51,8.38,3400.6,51.8,17.04,Success,False,False
E4,device2,phi3:mini,12,6.1058,140.75,51,8.35,3403.7,52.0,17.04,Success,False,False
E4,device2,phi3:mini,13,6.1524,157.62,51,8.29,3405.6,51.1,17.04,Success,False,False
E4,device2,phi3:mini,14,6.0719,137.24,51,8.4,3405.6,51.8,17.04,Success,False,False
E4,device2,phi3:mini,15,6.0564,144.93,51,8.42,3405.0,51.5,17.04,Success,False,False
E4,device2,phi3:mini,16,6.0403,141.85,51,8.44,3399.6,51.7,17.04,Success,False,False
E4,device2,phi3:mini,17,6.1239,147.84,51,8.33,3399.6,51.4,17.04,Success,False,False
E4,device2,phi3:mini,18,6.0557,134.0,51,8.42,3400.5,51.4,17.04,Success,False,False
E4,device2,phi3:mini,19,6.0688,135.73,51,8.4,3402.1,51.9,17.04,Success,False,False
E4,device2,phi3:mini,20,6.0471,141.88,51,8.43,3401.1,51.4,17.04,Success,False,False
E4,device2,phi3:mini,21,6.3639,148.42,51,8.01,3403.6,51.1,17.04,Success,False,False
E4,device2,phi3:mini,22,6.0809,149.37,51,8.39,3403.6,51.3,17.04,Success,False,False
E4,device2,phi3:mini,23,5.9403,143.4,51,8.59,3401.7,51.0,17.04,Success,False,False
E4,device2,phi3:mini,24,6.0253,165.03,51,8.46,3403.1,52.1,17.04,Success,False,False
E4,device2,phi3:mini,25,5.9814,134.84,51,8.53,3405.0,52.0,17.04,Success,False,False
E4,device2,phi3:mini,26,6.0163,130.96,51,8.48,3401.4,51.5,17.04,Success,False,False
E4,device2,phi3:mini,27,6.1038,145.29,51,8.36,3403.2,51.8,17.04,Success,False,False
E4,device2,phi3:mini,28,6.204,147.69,51,8.22,3401.3,51.9,17.04,Success,False,False
E4,device2,phi3:mini,29,6.1334,132.31,51,8.32,3401.1,52.4,17.04,Success,False,False
E4,device2,phi3:mini,30,6.3536,140.39,51,8.03,3401.1,51.3,17.04,Success,False,False
E4,device2,mistral:7b,1,43.3417,35380.37,37,0.85,5221.7,33.6,30.07,Success,False,False
E4,device2,mistral:7b,2,8.2896,279.17,37,4.46,4969.1,51.4,30.07,Success,False,False
E4,device2,mistral:7b,3,8.4458,258.21,37,4.38,4975.4,51.5,30.07,Success,False,False
E4,device2,mistral:7b,4,8.7788,247.48,37,4.21,4975.2,51.0,30.07,Success,False,False
E4,device2,mistral:7b,5,8.8672,239.27,37,4.17,4976.4,51.7,30.07,Success,False,False
E4,device2,mistral:7b,6,8.6651,265.06,37,4.27,4979.5,51.3,30.07,Success,False,False
E4,device2,mistral:7b,7,10.0814,257.94,37,3.67,4980.9,51.7,30.07,Success,False,False
E4,device2,mistral:7b,8,8.9025,264.25,37,4.16,4979.1,51.7,30.07,Success,False,False
E4,device2,mistral:7b,9,8.7822,291.32,37,4.21,4980.3,51.6,30.07,Success,False,False
E4,device2,mistral:7b,10,8.8056,245.78,37,4.2,4980.3,51.4,30.07,Success,False,False
E4,device2,mistral:7b,11,8.8045,255.81,37,4.2,4980.9,51.7,30.07,Success,False,False
E4,device2,mistral:7b,12,8.6663,255.19,37,4.27,4976.6,51.7,30.07,Success,False,False
E4,device2,mistral:7b,13,8.9478,250.44,37,4.14,5004.2,56.2,30.07,Success,False,False
E4,device2,mistral:7b,14,8.6347,266.46,37,4.29,4983.9,52.1,30.07,Success,False,False
E4,device2,mistral:7b,15,8.76,260.43,37,4.22,4982.3,52.1,30.07,Success,False,False
E4,device2,mistral:7b,16,8.6656,250.16,37,4.27,4992.6,51.1,30.07,Success,False,False
E4,device2,mistral:7b,17,8.6918,270.09,37,4.26,4992.6,51.6,30.07,Success,False,False
E4,device2,mistral:7b,18,9.5704,244.63,37,3.87,4986.9,52.5,30.07,Success,False,False
E4,device2,mistral:7b,19,10.0012,291.58,37,3.7,4987.7,52.1,30.07,Success,False,False
E4,device2,mistral:7b,20,8.7278,269.35,37,4.24,4988.0,52.0,30.07,Success,False,False
E4,device2,mistral:7b,21,8.7097,252.05,37,4.25,4985.5,51.7,30.07,Success,False,False
E4,device2,mistral:7b,22,7.1588,251.33,37,5.17,4981.5,50.6,30.07,Success,False,False
E4,device2,mistral:7b,23,7.7369,233.59,37,4.78,4982.6,51.7,30.07,Success,False,False
E4,device2,mistral:7b,24,7.0183,209.95,37,5.27,4986.5,51.9,30.07,Success,False,False
E4,device2,mistral:7b,25,7.2738,205.97,37,5.09,4986.5,51.1,30.07,Success,False,False
E4,device2,mistral:7b,26,7.9,236.8,37,4.68,4984.5,51.0,30.07,Success,False,False
E4,device2,mistral:7b,27,7.0856,216.13,37,5.22,4981.9,51.2,30.07,Success,False,False
E4,device2,mistral:7b,28,6.9744,236.15,37,5.31,4984.3,51.1,30.07,Success,False,False
E4,device2,mistral:7b,29,7.1369,235.14,37,5.18,4985.6,52.5,30.07,Success,False,False
E4,device2,mistral:7b,30,7.1425,215.34,37,5.18,4985.9,51.2,30.07,Success,False,False
