experiment,device,model,baseline_ram_mb,post_load_ram_mb,model_ram_delta_mb,peak_inference_ram_mb,avg_inference_ram_mb,peak_inference_cpu_pct,avg_inference_cpu_pct,baseline_swap_mb,peak_swap_mb,swap_active,load_time_s,avg_inference_s,post_unload_ram_mb,ram_leaked_mb,system_total_ram_mb,ram_utilization_pct
E5,device1,tinyllama,511.7,1197.6,685.8,1217.8,1196.7,51.6,47.2,0.0,0.0,False,2.37,4.5382,535.3,23.5,7785.0,15.6
E5,device1,tinyllama-q5,535.3,1350.5,815.3,1374.7,1354.3,52.4,47.6,0.0,0.0,False,2.35,6.7853,551.8,16.5,7785.0,17.7
E5,device1,tinyllama-q8,552.2,1747.5,1195.3,1773.4,1746.0,51.6,47.8,0.0,0.0,False,2.76,8.1633,579.1,26.9,7785.0,22.8
E5,device1,phi3:mini,579.1,4216.7,3637.6,4216.7,3407.2,52.8,48.9,0.0,0.8,False,4.58,19.1513,578.0,-1.2,7785.0,54.2
E5,device1,phi3-q5,578.2,4781.4,4203.2,4781.4,3975.7,52.4,48.5,0.8,45.6,True,5.11,23.5536,549.0,-29.2,7785.0,61.4
E5,device1,phi3-q8,549.2,5984.0,5434.8,5984.0,5106.9,59.3,47.7,45.6,47.8,False,5.61,22.3756,555.0,5.8,7785.0,76.9
E5,device1,qwen2.5:3b,556.0,2654.7,2098.7,2660.8,2580.4,59.5,47.5,47.8,39.8,False,4.69,16.7936,627.8,71.8,7785.0,34.2
E5,device1,qwen-q5,627.8,3197.1,2569.3,3202.5,3130.0,57.4,47.5,39.8,43.8,False,3.82,22.5299,714.2,86.5,7785.0,41.1
E5,device1,qwen-q8,714.2,4397.4,3683.2,4402.4,4206.0,52.4,47.0,43.8,147.2,True,5.03,19.5529,698.7,-15.5,7785.0,56.5
E5,device1,mistral:7b,699.0,5372.8,4673.9,5372.8,5039.0,52.4,48.7,147.2,203.6,True,5.2,31.2395,643.0,-56.0,7785.0,69.0
E5,device1,mistral-q5,643.5,6073.8,5430.3,6073.8,5724.1,52.4,48.4,203.6,204.7,False,7.66,40.4466,645.4,1.9,7785.0,78.0
E5,device1,mistral-q8,645.9,7690.1,7044.2,7754.7,7568.6,69.3,41.2,204.7,1026.7,True,63.16,56.7279,451.8,-194.1,7785.0,99.6
