experiment,device,model,condition,run,total_time_s,ttft_ms,tokens,tokens_per_sec,peak_ram_mb,avg_cpu_pct
E6,device1,tinyllama,cold,1,11.7775,6924.05,80,6.79,1300.2,33.5
E6,device1,tinyllama,cold,2,8.1489,2713.41,80,9.82,1312.0,43.6
E6,device1,tinyllama,cold,3,6.0937,1448.17,80,13.13,1316.2,43.7
E6,device1,tinyllama,cold,4,4.7561,1298.35,80,16.82,1318.8,42.4
E6,device1,tinyllama,cold,5,7.0849,1291.65,80,11.29,1317.6,45.7
E6,device1,tinyllama,warm,1,9.218,3550.61,80,8.68,1333.5,41.8
E6,device1,tinyllama,warm,2,5.0966,175.63,80,15.7,1338.2,48.2
E6,device1,tinyllama,warm,3,5.1481,158.75,80,15.54,1338.9,48.7
E6,device1,tinyllama,warm,4,6.4517,200.67,80,12.4,1339.9,48.1
E6,device1,tinyllama,warm,5,8.089,327.22,80,9.89,1340.8,47.8
E6,device1,tinyllama,warm,6,6.6776,229.59,80,11.98,1341.3,48.2
E6,device1,tinyllama,warm,7,5.096,166.38,80,15.7,1343.2,48.0
E6,device1,tinyllama,warm,8,4.5091,156.48,80,17.74,1342.8,48.3
E6,device1,tinyllama,warm,9,5.0393,161.56,80,15.88,1342.6,48.4
E6,device1,tinyllama,warm,10,5.7314,167.6,80,13.96,1343.8,47.7
E6,device1,tinyllama,warm,11,6.1786,187.28,80,12.95,1341.5,49.0
E6,device1,tinyllama,warm,12,6.4034,205.85,80,12.49,1341.7,48.5
E6,device1,tinyllama,warm,13,5.7747,205.5,80,13.85,1344.6,48.7
E6,device1,tinyllama,warm,14,5.529,163.5,80,14.47,1347.0,48.5
E6,device1,tinyllama,warm,15,5.2748,215.21,80,15.17,1345.9,47.6
E6,device1,tinyllama,warm,16,5.2733,172.32,80,15.17,1344.6,47.4
E6,device1,tinyllama,warm,17,8.6687,163.05,80,9.23,1345.7,48.0
E6,device1,tinyllama,warm,18,7.7661,167.51,80,10.3,1347.5,48.3
E6,device1,tinyllama,warm,19,6.8978,153.56,80,11.6,1349.2,48.2
E6,device1,tinyllama,warm,20,5.3735,212.37,80,14.89,1349.0,48.5
E6,device1,phi3:mini,cold,1,49.3189,28414.52,80,1.62,3532.0,28.5
E6,device1,phi3:mini,cold,2,30.435,10621.93,80,2.63,3541.3,42.5
E6,device1,phi3:mini,cold,3,27.142,9309.76,80,2.95,3542.5,40.9
E6,device1,phi3:mini,cold,4,28.8627,12816.97,80,2.77,3541.7,37.0
E6,device1,phi3:mini,cold,5,28.34,7729.28,80,2.82,3546.3,44.0
E6,device1,phi3:mini,warm,1,25.5963,7749.16,80,3.13,4290.9,42.1
E6,device1,phi3:mini,warm,2,17.2846,240.75,80,4.63,3529.0,49.6
E6,device1,phi3:mini,warm,3,17.5245,530.64,80,4.57,3532.3,49.1
E6,device1,phi3:mini,warm,4,18.3874,244.42,80,4.35,3534.0,49.8
E6,device1,phi3:mini,warm,5,17.8721,256.88,80,4.48,3535.7,49.5
E6,device1,phi3:mini,warm,6,15.1552,299.9,80,5.28,3536.7,49.6
E6,device1,phi3:mini,warm,7,15.5861,242.72,80,5.13,3536.9,49.7
E6,device1,phi3:mini,warm,8,16.5961,249.83,80,4.82,3536.6,49.6
E6,device1,phi3:mini,warm,9,15.8601,273.9,80,5.04,3535.2,49.5
E6,device1,phi3:mini,warm,10,14.4524,240.59,80,5.54,3536.9,49.7
E6,device1,phi3:mini,warm,11,14.3639,228.74,80,5.57,3538.2,49.7
E6,device1,phi3:mini,warm,12,15.1972,239.61,80,5.26,3537.7,49.5
E6,device1,phi3:mini,warm,13,15.5616,222.91,80,5.14,3537.4,49.6
E6,device1,phi3:mini,warm,14,15.0122,247.52,80,5.33,3539.0,49.5
E6,device1,phi3:mini,warm,15,15.8516,247.22,80,5.05,3539.3,49.6
E6,device1,phi3:mini,warm,16,15.1816,229.11,80,5.27,3539.2,49.7
E6,device1,phi3:mini,warm,17,14.9559,274.24,80,5.35,3541.0,49.6
E6,device1,phi3:mini,warm,18,14.4799,226.01,80,5.52,3541.5,49.7
E6,device1,phi3:mini,warm,19,15.5211,236.78,80,5.15,3541.6,49.3
E6,device1,phi3:mini,warm,20,14.4569,226.3,80,5.53,3541.1,49.7
E6,device1,qwen2.5:3b,cold,1,25.4207,12003.58,80,3.15,2647.4,35.8
E6,device1,qwen2.5:3b,cold,2,22.2665,8699.89,80,3.59,2682.7,39.3
E6,device1,qwen2.5:3b,cold,3,21.3035,7917.24,80,3.76,2738.4,40.2
E6,device1,qwen2.5:3b,cold,4,22.1537,5028.26,80,3.61,2781.9,42.6
E6,device1,qwen2.5:3b,cold,5,23.7323,10520.14,80,3.37,2831.9,37.0
E6,device1,qwen2.5:3b,warm,1,26.4768,10367.13,80,3.02,2954.9,39.0
E6,device1,qwen2.5:3b,warm,2,17.0926,414.8,80,4.68,2886.8,48.0
E6,device1,qwen2.5:3b,warm,3,17.6591,581.17,80,4.53,2890.0,47.9
E6,device1,qwen2.5:3b,warm,4,14.6979,369.73,80,5.44,2891.7,48.4
E6,device1,qwen2.5:3b,warm,5,14.4234,411.42,80,5.55,2895.9,48.1
E6,device1,qwen2.5:3b,warm,6,13.1334,412.94,80,6.09,2900.5,48.2
E6,device1,qwen2.5:3b,warm,7,13.9358,420.26,80,5.74,2897.2,47.9
E6,device1,qwen2.5:3b,warm,8,12.8286,378.37,80,6.24,2902.6,48.1
E6,device1,qwen2.5:3b,warm,9,12.9764,367.31,80,6.17,2905.5,48.5
E6,device1,qwen2.5:3b,warm,10,12.7862,371.83,80,6.26,2909.9,48.2
E6,device1,qwen2.5:3b,warm,11,12.9588,370.2,80,6.17,2910.9,48.3
E6,device1,qwen2.5:3b,warm,12,13.2873,380.3,80,6.02,2911.4,48.6
E6,device1,qwen2.5:3b,warm,13,12.7368,384.51,80,6.28,2911.4,48.4
E6,device1,qwen2.5:3b,warm,14,11.9454,429.95,80,6.7,2911.0,48.2
E6,device1,qwen2.5:3b,warm,15,12.4382,390.57,80,6.43,2912.0,48.1
E6,device1,qwen2.5:3b,warm,16,13.2121,378.36,80,6.06,2915.4,48.2
E6,device1,qwen2.5:3b,warm,17,15.0381,550.71,80,5.32,2916.3,47.9
E6,device1,qwen2.5:3b,warm,18,13.7636,351.1,80,5.81,2916.3,48.3
E6,device1,qwen2.5:3b,warm,19,11.9172,366.57,80,6.71,2917.0,48.2
E6,device1,qwen2.5:3b,warm,20,17.1749,381.86,80,4.66,2917.0,48.4
E6,device1,mistral:7b,cold,1,120.926,88147.27,80,0.66,5259.5,21.2
E6,device1,mistral:7b,cold,2,74.9356,25604.16,80,1.07,5107.8,37.3
E6,device1,mistral:7b,cold,3,78.8899,40148.07,80,1.01,5114.1,32.6
E6,device1,mistral:7b,cold,4,62.6443,19513.78,80,1.28,5109.7,39.1
E6,device1,mistral:7b,cold,5,53.3323,18303.92,80,1.5,5010.1,39.0
E6,device1,mistral:7b,warm,1,37.3007,10945.94,80,2.14,5330.1,41.2
E6,device1,mistral:7b,warm,2,25.3115,355.15,80,3.16,5099.1,49.8
E6,device1,mistral:7b,warm,3,24.8567,347.42,80,3.22,5102.2,50.1
E6,device1,mistral:7b,warm,4,23.7453,349.88,80,3.37,5105.1,49.8
E6,device1,mistral:7b,warm,5,25.5835,364.6,80,3.13,5107.1,49.8
E6,device1,mistral:7b,warm,6,27.5854,329.26,80,2.9,5108.2,49.8
E6,device1,mistral:7b,warm,7,24.7335,348.75,80,3.23,5109.1,49.9
E6,device1,mistral:7b,warm,8,27.0794,342.24,80,2.95,5109.0,50.0
E6,device1,mistral:7b,warm,9,28.8288,422.86,80,2.78,5111.6,49.9
E6,device1,mistral:7b,warm,10,26.633,544.65,80,3.0,5112.6,49.6
E6,device1,mistral:7b,warm,11,28.1785,343.73,80,2.84,5112.6,49.8
E6,device1,mistral:7b,warm,12,25.8033,340.31,80,3.1,5111.2,49.8
E6,device1,mistral:7b,warm,13,27.1456,375.83,80,2.95,5110.1,49.8
E6,device1,mistral:7b,warm,14,27.2488,397.7,80,2.94,5110.1,49.7
E6,device1,mistral:7b,warm,15,29.7968,371.19,80,2.68,5111.1,50.0
E6,device1,mistral:7b,warm,16,25.0401,442.27,80,3.19,5111.7,49.9
E6,device1,mistral:7b,warm,17,23.1761,330.35,80,3.45,5111.6,49.9
E6,device1,mistral:7b,warm,18,23.225,331.16,80,3.44,5113.0,49.8
E6,device1,mistral:7b,warm,19,25.0601,318.82,80,3.19,5113.2,49.8
E6,device1,mistral:7b,warm,20,29.6091,366.99,80,2.7,5112.7,49.8
