experiment,device,model,run,single_time_s,single_tokens,single_toks,single_ttft_ms,agent_chain_s,step1_s,step2_s,step3_s,linear_expected_s,overhead_ratio,chain_completed,single_ram_mb,agent_ram_mb
E3,device1,tinyllama,1,0.0022,0,0.0,2.21,0.0085,0.0038,0.0024,0.0018,0.0066,1.2935,False,1492.7,1492.7
E3,device1,tinyllama,2,0.0019,0,0.0,1.95,0.0046,0.0016,0.0011,0.0015,0.0057,0.8113,False,1492.7,1492.7
E3,device1,tinyllama,3,0.0015,0,0.0,1.52,0.004,0.0016,0.0012,0.001,0.0045,0.8955,False,1492.7,1492.7
E3,device1,tinyllama,4,0.0016,0,0.0,1.62,0.0044,0.0015,0.0012,0.0015,0.0048,0.9064,False,1492.7,1492.7
E3,device1,tinyllama,5,0.0015,0,0.0,1.47,0.0053,0.0016,0.0018,0.0015,0.0045,1.1681,False,1494.3,1494.3
E3,device1,tinyllama,6,0.0018,0,0.0,1.78,0.0045,0.002,0.0011,0.0011,0.0054,0.8249,False,1494.3,1494.3
E3,device1,tinyllama,7,0.0015,0,0.0,1.52,0.0036,0.0014,0.0011,0.0009,0.0045,0.8076,False,1494.3,1494.3
E3,device1,tinyllama,8,0.0015,0,0.0,1.54,0.0046,0.0019,0.0011,0.0013,0.0045,1.0263,False,1494.5,1494.5
E3,device1,tinyllama,9,0.0016,0,0.0,1.64,0.0047,0.0017,0.0014,0.0014,0.0048,0.9817,False,1494.5,1494.5
E3,device1,tinyllama,10,0.0018,0,0.0,1.85,0.0055,0.0026,0.0013,0.0013,0.0054,1.0203,False,1494.5,1494.5
E3,device1,tinyllama,11,0.0024,0,0.0,2.38,0.0055,0.0022,0.0015,0.0014,0.0072,0.7576,False,1494.5,1494.5
E3,device1,tinyllama,12,0.0016,0,0.0,1.61,0.0039,0.0016,0.0011,0.001,0.0048,0.8129,False,1494.5,1494.5
E3,device1,tinyllama,13,0.0015,0,0.0,1.49,0.0048,0.0018,0.0014,0.0013,0.0045,1.0765,False,1494.5,1494.5
E3,device1,tinyllama,14,0.0018,0,0.0,1.84,0.0048,0.0019,0.0014,0.0012,0.0054,0.8855,False,1494.9,1494.9
E3,device1,tinyllama,15,0.0018,0,0.0,1.81,0.0041,0.0018,0.0012,0.0009,0.0054,0.7555,False,1494.9,1495.2
E3,device1,tinyllama,16,0.0025,0,0.0,2.55,0.0065,0.0026,0.0019,0.0015,0.0075,0.865,False,1495.2,1495.2
E3,device1,tinyllama,17,0.0026,0,0.0,2.64,0.0086,0.0026,0.0026,0.0027,0.0078,1.0977,False,1495.2,1495.2
E3,device1,tinyllama,18,0.0031,0,0.0,3.13,0.0082,0.0041,0.0024,0.0013,0.0093,0.8789,False,1495.2,1495.2
E3,device1,tinyllama,19,0.0039,0,0.0,3.87,0.0066,0.0025,0.002,0.0017,0.0117,0.5664,False,1495.2,1495.2
E3,device1,tinyllama,20,0.0026,0,0.0,2.6,0.0067,0.0033,0.0017,0.0014,0.0078,0.8537,False,1495.2,1495.2
E3,device1,tinyllama,21,0.0021,0,0.0,2.13,0.0068,0.002,0.0031,0.0013,0.0063,1.0769,False,1495.2,1495.2
E3,device1,tinyllama,22,0.0024,0,0.0,2.43,0.0065,0.0024,0.0019,0.0016,0.0072,0.905,False,1495.2,1495.2
E3,device1,tinyllama,23,0.0021,0,0.0,2.13,0.0052,0.0017,0.0018,0.0013,0.0063,0.8226,False,1495.2,1495.2
E3,device1,tinyllama,24,0.0033,0,0.0,3.32,0.0041,0.0014,0.0011,0.0013,0.0099,0.4111,False,1495.2,1495.2
E3,device1,tinyllama,25,0.0022,0,0.0,2.22,0.0038,0.0015,0.0009,0.0012,0.0066,0.5793,False,1495.2,1495.2
E3,device1,tinyllama,26,0.0015,0,0.0,1.45,0.0042,0.0017,0.0013,0.0009,0.0045,0.9226,False,1495.2,1495.2
E3,device1,tinyllama,27,0.0025,0,0.0,2.55,0.0044,0.0017,0.001,0.0015,0.0075,0.5848,False,1495.2,1495.2
E3,device1,tinyllama,28,0.0014,0,0.0,1.37,0.0056,0.0022,0.0015,0.0017,0.0042,1.3256,False,1495.2,1495.2
E3,device1,tinyllama,29,0.0017,0,0.0,1.74,0.0057,0.0021,0.0018,0.0014,0.0051,1.1115,False,1495.2,1495.2
E3,device1,tinyllama,30,0.0031,0,0.0,3.09,0.0068,0.0022,0.0018,0.0023,0.0093,0.7306,False,1495.2,1495.2
E3,device1,phi3:mini,1,0.0021,0,0.0,2.08,0.0058,0.0034,0.0012,0.001,0.0063,0.9274,False,1496.2,1496.2
E3,device1,phi3:mini,2,0.002,0,0.0,1.99,0.0065,0.0031,0.0015,0.0017,0.006,1.076,False,1496.2,1496.2
E3,device1,phi3:mini,3,0.0037,0,0.0,3.65,0.0071,0.0031,0.0024,0.0012,0.0111,0.6403,False,1496.2,1496.2
E3,device1,phi3:mini,4,0.004,0,0.0,3.96,0.0051,0.0017,0.002,0.0012,0.012,0.4279,False,1496.2,1496.2
E3,device1,phi3:mini,5,0.0016,0,0.0,1.59,0.0053,0.0023,0.0013,0.0014,0.0048,1.0992,False,1496.2,1496.2
